"Approach" "NbVarSelected" "NbVarInf" "Accuracy_selection" "Specificity_selection" "Sensitivity_selection" "MCC_selection" "Accuracy_training" "Specificity_training" "Sensitivity_training" "MCC_training" "Accuracy_test" "Specificity_test" "Sensitivity_test" "MCC_test" "VarSelected" "coef_estimate" "std_estimate" "Simulation"
"1" "BASELINE" 100 6 0.06 0 1 0 0.8845 0.89458413926499 0.873706004140787 0.768695436794025 0.854 0.864440078585462 0.843177189409369 0.707911916117494 "X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;X11;X12;X13;X14;X15;X16;X17;X18;X19;X20;X21;X22;X23;X24;X25;X26;X27;X28;X29;X30;X31;X32;X33;X34;X35;X36;X37;X38;X39;X40;X41;X42;X43;X44;X45;X46;X47;X48;X49;X50;X51;X52;X53;X54;X55;X56;X57;X58;X59;X60;X61;X62;X63;X64;X65;X66;X67;X68;X69;X70;X71;X72;X73;X74;X75;X76;X77;X78;X79;X80;X81;X82;X83;X84;X85;X86;X87;X88;X89;X90;X91;X92;X93;X94;X95;X96;X97;X98;X99;X100" "1.74908898875476;0.114155015410585;-0.0449274892906949;-0.144049328951539;-0.138220838063766;-0.0134421331672554;0.0890008230137905;-0.169862097635142;0.0284352565717921;0.0655049516573395;1.75935952314799;0.0518001404907292;-0.0888940297279728;-0.109367666987401;-0.325810483686464;0.187678353932338;0.0998817843027091;-0.0260903843626725;-0.0336196098606591;0.0193249781365583;1.56038010998347;-0.0555308880873472;0.334204379318477;-0.19502482480113;0.13301106845405;0.0803804661247738;-0.031341054924183;-0.0551186336193485;0.0509787704461015;0.0141264652444448;1.69156255895275;-0.0677952440064883;0.202849182568774;-0.0210102442101485;-0.156033771739597;-0.0891893614837156;0.0365937887878163;0.270773637131749;-0.263833884312382;-0.0837138835900836;1.64441008510387;-0.126448151221954;0.289071247850318;-0.0405587383809726;0.09102961025925;0.0709794674827174;0.172096845669726;0.000470000286149955;-0.219166808637015;0.0277851433035593;-0.0781083958759108;0.0912463608986955;0.149004823094432;-0.27596118494587;0.258745774727862;-0.0902132081680446;-0.0792959834957847;0.292469796109387;-0.109741021206968;-0.0963741645314743;0.00098941334359504;0.0559931289212096;-0.141132807151402;0.0969721332699436;-0.0280630248322274;-0.210603812930124;-0.00860434384801832;0.105510570639939;-0.120456199354474;0.141602274284133;-0.16136150151336;0.0571028518174302;0.0159216435658479;0.011606571708215;0.09892412331094;-0.0622541090531894;-0.121643894408054;-0.0587707906225515;0.273004775594043;-0.054564670346214;-0.176959959180127;0.367098126001966;-0.294404194584284;0.0726352742365602;0.0164224770369067;0.0633717299187814;-0.107565801188916;-0.281113039148659;0.179929987187924;0.0616200546640288;1.73712590001063;-0.0433737708523031;-0.082863934003723;0.0644523027724421;0.156831118028228;-0.124227390736248;-0.0966656062392572;0.065075845630139;-0.0235212769574235;0.0230376766885904" "0.130045955708237;0.115605806559829;0.113862294529318;0.118122356750293;0.119949702255569;0.115133423747843;0.122750626587943;0.113685261198728;0.115498322055969;0.105855485210081;0.13316195254139;0.113063365428717;0.122729872710046;0.118191736191842;0.120739498677382;0.116692226123251;0.111613883606962;0.114440973866856;0.11395505296855;0.105176109947685;0.123944186898076;0.112814440525785;0.116873928695955;0.116103794373196;0.118089972825647;0.114627684641787;0.118977875430923;0.119580668727396;0.116407689975789;0.110164501718698;0.12927892638453;0.117898699274354;0.116789690624282;0.114607223075307;0.111594994554674;0.114326153295486;0.116080044700071;0.117228090404789;0.118804358466788;0.107492558435183;0.132504559209128;0.114703923035186;0.118093966432081;0.114462607117548;0.110760892111386;0.113297800086795;0.109653076933869;0.114695406885217;0.116018063881116;0.107765091239833;0.108672327489067;0.115979598959572;0.11666517379605;0.115399664953362;0.11667858159913;0.12192373555245;0.115906689936002;0.117824160087845;0.111030598684518;0.107983416363274;0.10694531878535;0.118569813919201;0.117608035916748;0.11605155814614;0.117621082333276;0.121838632330147;0.118334545293668;0.113206842013112;0.114427145224996;0.10736855746001;0.107867151530596;0.117489125720512;0.111494495510497;0.117776673220271;0.120188815413815;0.119300536369409;0.116614497135074;0.118561188770942;0.117325154689926;0.102405380579013;0.111638664776673;0.110860327775017;0.115119126344486;0.119372166500726;0.117747023763067;0.111087549375075;0.113257283620957;0.118462905790623;0.112244030874478;0.113288305326154;0.11338441010462;0.0797966680719707;0.0797195772620483;0.0823998636525917;0.0779059489460493;0.0804838739256545;0.0832668260495223;0.0811922998639228;0.0831679787898284;0.0783282914192036" 5
"2" "BEST" 6 6 1 1 1 1 0.868 0.876208897485493 0.859213250517598 0.735646077315317 0.869 0.871316306483301 0.866598778004073 0.737915084487374 "X1;X11;X21;X31;X41;X91" "1.50616533704787;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.49589312237028;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.48985446974557;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.49144469300641;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.58117625796086;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.55172275510281;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.0951650991390896;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0967924741812616;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0910159570207089;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.096833637864519;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.100120350851493;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0979897642531681;NA;NA;NA;NA;NA;NA;NA;NA;NA" 5
"3" "CFS" 7 6 0.99 0.98936170212766 1 0.920882357366793 0.8695 0.876208897485493 0.86231884057971 0.738662712358021 0.8705 0.868369351669941 0.872708757637475 0.740988055551682 "X1;X11;X21;X23;X31;X41;X91" "1.50466051419901;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.5004338521966;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.38479579119639;NA;0.189805932782777;NA;NA;NA;NA;NA;NA;NA;1.49710517752705;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.57389031423659;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.54822731435093;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.0952714176929221;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0969845727743195;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.102237178338452;NA;0.089171500076932;NA;NA;NA;NA;NA;NA;NA;0.0972557210527535;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.10005910233133;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0983487143454294;NA;NA;NA;NA;NA;NA;NA;NA;NA" 5
"4" "CHI2" 35 6 0.71 0.691489361702128 1 0.344297884737404 0.876 0.889748549323017 0.86128364389234 0.751694742145068 0.86 0.860510805500982 0.859470468431772 0.719935184622813 "X21;X91;X41;X11;X31;X1;X23;X22;X43;X42;X25;X44;X45;X2;X24;X12;X3;X32;X33;X46;X47;X26;X28;X16;X13;X48;X27;X34;X35;X29;X36;X18;X5;X15;X4" "1.63650796598053;0.0824276488545418;-0.0422006555686307;-0.131708257701433;-0.0967265554104358;NA;NA;NA;NA;NA;1.62939299132751;0.0257595121699787;-0.119141576941541;NA;-0.295057346595515;0.219120993513434;NA;-0.00228710022146131;NA;NA;1.43916760675951;-0.0523021506873559;0.287980260371575;-0.175154831396748;0.0799110636819598;0.0868413870105082;-0.0264649571653138;-0.0952661584870142;0.0846809645285255;NA;1.54530430512983;-0.02086583733386;0.167396100393907;-0.0457261454827084;-0.132634823957001;-0.0251607939175166;NA;NA;NA;NA;1.52310179683418;-0.122688822365309;0.252787982983652;0.0133544764486412;0.104176204939832;0.0314716543109518;0.0516660628890297;-0.0665714334529247;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.58304386120625;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.120203079598497;0.107602013412683;0.105701180115332;0.105318933380691;0.101338268236305;NA;NA;NA;NA;NA;0.122474872181912;0.103402619066031;0.108295598391699;NA;0.106627878811127;0.102303529094959;NA;0.0972639980563649;NA;NA;0.112855852284554;0.105623053232524;0.108670213446372;0.106716473156041;0.110080939454007;0.107220921509084;0.108726811925053;0.109292594387617;0.10024452770831;NA;0.117800821168886;0.108395745636814;0.110071635475323;0.106814095962266;0.102743197650096;0.0971727057779201;NA;NA;NA;NA;0.120793427492484;0.107478581908844;0.108686288823641;0.106251810213144;0.105561399909335;0.106079525682734;0.0985622779924971;0.0964986468048972;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.101554156087419;NA;NA;NA;NA;NA;NA;NA;NA;NA" 5
"5" "CONS" 15 6 0.91 0.904255319148936 1 0.601416767025641 0.8725 0.886847195357834 0.857142857142857 0.744687094215698 0.8655 0.870333988212181 0.860488798370672 0.730897731723716 "X1;X4;X11;X13;X15;X16;X18;X21;X22;X25;X29;X31;X41;X42;X91" "1.59534642340252;NA;NA;-0.153717215928942;NA;NA;NA;NA;NA;NA;1.58988792969029;NA;-0.0976767990170092;NA;-0.268868297657024;0.216316836262793;NA;-0.00139813484751707;NA;NA;1.46655369997545;-0.0142762003149132;NA;NA;0.0708967046774693;NA;NA;NA;0.0629855544653714;NA;1.49546048714632;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.59116674823338;0.0300966769795646;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.5670883645643;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.106511331827374;NA;NA;0.0832296783887502;NA;NA;NA;NA;NA;NA;0.113289628778491;NA;0.0999427964332357;NA;0.103058819921243;0.100070021213744;NA;0.0950156638727239;NA;NA;0.107350421361629;0.0962060786315282;NA;NA;0.0914920057146779;NA;NA;NA;0.0829934028756926;NA;0.0975861312223765;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.115490897837589;0.0938389587094488;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0994653645734705;NA;NA;NA;NA;NA;NA;NA;NA;NA" 5
"6" "IG" 6 6 1 1 1 1 0.868 0.876208897485493 0.859213250517598 0.735646077315317 0.869 0.871316306483301 0.866598778004073 0.737915084487374 "X21;X91;X41;X11;X31;X1" "1.50616533704787;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.49589312237028;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.48985446974556;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.49144469300641;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.58117625796086;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.5517227551028;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.0951650991390896;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0967924741812617;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0910159570207086;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0968336378645189;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.100120350851493;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0979897642531678;NA;NA;NA;NA;NA;NA;NA;NA;NA" 5
"7" "IGR" 1 1 0.95 1 0.166666666666667 0.39780542762657 0.634 0.669245647969052 0.596273291925466 0.26626210864467 0.614 0.62180746561886 0.605906313645621 0.227722435686194 "X91" "NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.729407564920286;NA;NA;NA;NA;NA;NA;NA;NA;NA" "NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0531055293078499;NA;NA;NA;NA;NA;NA;NA;NA;NA" 5
"8" "ONER" 6 6 1 1 1 1 0.868 0.876208897485493 0.859213250517598 0.735646077315317 0.869 0.871316306483301 0.866598778004073 0.737915084487374 "X91;X21;X31;X11;X1;X41" "1.50616533704787;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.49589312237028;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.48985446974557;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.49144469300641;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.58117625796086;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.55172275510281;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.0951650991390895;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0967924741812617;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.091015957020709;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0968336378645188;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.100120350851493;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.097989764253168;NA;NA;NA;NA;NA;NA;NA;NA;NA" 5
"9" "RELIEF" 96 6 0.1 0.0425531914893617 1 0.0515710623129397 0.887 0.897485493230174 0.875776397515528 0.773706640167271 0.855 0.864440078585462 0.845213849287169 0.709902517807859 "X31;X58;X74;X1;X56;X10;X26;X69;X92;X82;X54;X67;X78;X19;X57;X12;X52;X59;X72;X34;X17;X30;X79;X20;X36;X6;X91;X85;X28;X46;X64;X55;X53;X86;X94;X5;X22;X68;X76;X70;X100;X80;X40;X4;X75;X45;X62;X98;X93;X2;X41;X33;X51;X3;X15;X18;X84;X63;X42;X95;X24;X7;X47;X27;X71;X81;X60;X39;X37;X97;X83;X66;X44;X73;X38;X87;X25;X23;X13;X14;X89;X32;X21;X35;X11;X88;X90;X29;X61;X43;X48;X77;X49;X96;X99;X16" "1.7440865798884;0.105361177675351;-0.0380051728413598;-0.157604819226397;-0.140634150225872;-0.0411014568727888;0.0373938226611397;NA;NA;0.0379401693364659;1.75367970600186;0.0545469799725267;-0.0761907538324336;-0.113871532942272;-0.337312259196343;0.188213982811122;0.0997209287288364;-0.0239026370465646;-0.0290425086534968;0.0118288397813923;1.56573497335102;-0.052907231643836;0.322277804636276;-0.191538888251518;0.12265526849789;0.0795456650601503;-0.0296277491719453;-0.0570350431390522;0.0531450073851067;0.0154682008351227;1.69278215085731;-0.0610868469353381;0.203712839587562;-0.0191650138084666;-0.165790100266489;-0.0965108759335251;0.0332612511939559;0.270645372491564;-0.252105462837621;-0.0794135150638275;1.64405912374251;-0.115234611237674;0.285918881735583;-0.0349341443855319;0.101411055518947;0.0531625649200453;0.174333323702941;0.00357383443248416;-0.196304955851039;NA;-0.0776512547675415;0.0838068221298234;0.151984970057886;-0.272491930547633;0.266775374906254;-0.0969352962320541;-0.0728229986531993;0.285634580883411;-0.104181865629316;-0.0988628983218365;-0.00161867804750079;0.0499858230950804;-0.14937158485868;0.0892974920701191;NA;-0.212103149384521;-0.0240288644666716;0.107672167268199;-0.108878195505255;0.148343895645223;-0.153984170570206;0.047388741561239;0.0133866031357373;0.0121518965135329;0.100635330649099;-0.0665911895533291;-0.11179064821628;-0.0496107360291546;0.258249892567128;-0.0539003864306177;-0.173554028254283;0.364708635153466;-0.291080054280806;0.0655637647734262;0.024499255303908;0.0658837861266008;-0.115042303270372;-0.27851334277542;0.177865141294391;0.0588071359116289;1.73853941260388;-0.0436130364358716;-0.0795068375871872;0.0605201793462236;0.153665344347374;-0.124236346879719;-0.101525739403694;0.0645830158930253;-0.0222562595467946;0.0185071363254302" "0.129870831632263;0.115103839341599;0.113558035571577;0.116972689532269;0.119280682903283;0.112950884840923;0.115430996673017;NA;NA;0.0949558700713391;0.132677911554179;0.112756097168855;0.12202834712724;0.118030281400961;0.120275218791962;0.116284489013453;0.111135314075821;0.114221076124398;0.113791883202534;0.104640773720972;0.123728173575869;0.112727396721616;0.116319994324458;0.115983796033329;0.117499831327266;0.114259375733674;0.118643541270868;0.119033163535381;0.116427684253412;0.110060909666334;0.129068299421572;0.117501908798821;0.116675264720002;0.114164613309625;0.11140670214518;0.113949723566687;0.115669842467286;0.116822348421546;0.118085401866249;0.107211616777337;0.132098074500068;0.114295137870625;0.116957748651559;0.114131700485681;0.110625966328354;0.112383927985898;0.10856867093199;0.112089803324748;0.108679400459292;NA;0.108264205662154;0.115322446356087;0.1163413138107;0.115273977076462;0.116206197382031;0.121328897896158;0.11553941401967;0.117511254209771;0.110648334280891;0.107585780322887;0.106272715348327;0.117920141755627;0.116273350864131;0.113656126809101;NA;0.117219094016633;0.116030343890265;0.112925579387563;0.114038012326659;0.10684530279118;0.107337325121254;0.117034914163463;0.111433209393207;0.117419637131597;0.119566093253135;0.118693239394828;0.11605552728988;0.117907665674238;0.116477237064984;0.101751985872368;0.111525583069125;0.110558852577147;0.114436384333058;0.119063089866212;0.117143426170582;0.110650323237166;0.112830780679831;0.118245419723201;0.111815125510398;0.113120606957665;0.113376978915613;0.079565475043658;0.0794975760015172;0.0821819800199312;0.0775904407200434;0.0802696510514546;0.0830035333025193;0.080884356703201;0.0828723407627413;0.0780338807883368" 5
"10" "RFI" 6 6 1 1 1 1 0.868 0.876208897485493 0.859213250517598 0.735646077315317 0.869 0.871316306483301 0.866598778004073 0.737915084487374 "X91;X21;X41;X31;X1;X11" "1.50616533704787;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.49589312237029;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.48985446974557;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.49144469300641;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.58117625796086;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.55172275510281;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.0951650991390898;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0967924741812617;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0910159570207091;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0968336378645189;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.100120350851493;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.097989764253168;NA;NA;NA;NA;NA;NA;NA;NA;NA" 5
