"Approach" "NbVarSelected" "NbVarInf" "Accuracy_selection" "Specificity_selection" "Sensitivity_selection" "MCC_selection" "Accuracy_training" "Specificity_training" "Sensitivity_training" "MCC_training" "Accuracy_test" "Specificity_test" "Sensitivity_test" "MCC_test" "VarSelected" "coef_estimate" "std_estimate" "Simulation"
"1" "BASELINE" 100 6 0.06 0 1 0 0.8875 0.887775551102204 0.887225548902196 0.774999937500716 0.8315 0.825548141086749 0.838065194532072 0.662948792054655 "X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;X11;X12;X13;X14;X15;X16;X17;X18;X19;X20;X21;X22;X23;X24;X25;X26;X27;X28;X29;X30;X31;X32;X33;X34;X35;X36;X37;X38;X39;X40;X41;X42;X43;X44;X45;X46;X47;X48;X49;X50;X51;X52;X53;X54;X55;X56;X57;X58;X59;X60;X61;X62;X63;X64;X65;X66;X67;X68;X69;X70;X71;X72;X73;X74;X75;X76;X77;X78;X79;X80;X81;X82;X83;X84;X85;X86;X87;X88;X89;X90;X91;X92;X93;X94;X95;X96;X97;X98;X99;X100" "2.24077792971049;-0.297171075994343;0.166138709539479;-0.476879613401352;0.087007033690568;-0.116092700518177;-0.5771657753853;0.21006214771992;0.111793467412135;0.185591809544692;2.08016499043608;-0.299791905672538;0.107034694127234;-0.438331251721623;0.025533641292656;-0.210446031127632;-0.00494953910859133;0.166635591577285;0.0549281695276412;0.152928408641477;1.87667937248217;-0.396756499368412;-0.385141603506089;0.0378670009806859;-0.255768424172184;0.0848386435972661;-0.286121760355756;0.185380692305341;0.513431227313736;0.360772313399147;1.91393129397937;0.115131486841239;-0.358940795343254;0.607102284211846;-0.429387949922521;-0.137157004151725;-0.18093165928752;-0.178543246547933;0.0419144188913021;0.303175631294042;1.57749808502565;-0.113654381706706;0.011247812851859;0.135028277572956;-0.158818673286426;0.0913839898136677;0.19045320422634;0.0916578459143789;0.125023981961459;-0.208913337140016;-0.080009005210233;0.165126933628621;-0.240471050216538;-0.323224076343861;0.134232882712228;0.0491050640745112;0.0189380916567839;0.508254787265662;-0.263751640902195;0.00177457776428218;-0.111169697304507;0.29730937714588;-0.0255685402384645;0.706767029231238;-0.403287049606938;-0.33508490850894;-0.102459878739563;0.451395039799487;-0.0428741937881895;-0.201963007976651;-0.224810870789823;-0.080414909737845;0.4294216099992;-0.590931087095091;0.706498268594391;-0.0745988072104443;-0.509647779667308;-0.0849596136278085;0.736296071875549;-0.26084436510835;-0.0616337788446639;0.382166192645375;-0.322544014215584;-0.18088252757691;-0.035469739100287;-0.169576793719421;0.204495040905333;-0.176054002068925;-0.00421328405283145;0.363512868581759;1.84405427982574;-0.0838065759051904;0.0100940703329767;-0.114382592912477;-0.010105271558652;-0.0424103046551021;0.0285507018106112;0.112474849205012;-0.0224355667232729;-0.134851205683531" "0.265079856559848;0.237180571927939;0.246255805261123;0.243777603303957;0.23649406885368;0.240657703283746;0.243233020650314;0.259181127506192;0.240309959494213;0.243630244096226;0.265878425344025;0.246678692738832;0.244771059470246;0.236947503536814;0.235864491839166;0.254129257806711;0.242994942054916;0.242397343143076;0.251700439493294;0.249621168970585;0.260054611428788;0.245793659201914;0.24350121197768;0.243351987655652;0.238109442491347;0.23043087933673;0.231686820279761;0.232664376307622;0.24412018199879;0.237941165347756;0.280694943749476;0.238666898769599;0.25165153332107;0.24777583573036;0.239585480510583;0.244685264757073;0.246068456643474;0.2395031645799;0.242512088800847;0.23707221941644;0.248251895859066;0.240746427675149;0.238953307805668;0.241967594629141;0.245840404313449;0.247283358245479;0.243788336120732;0.237471447127092;0.243071471229993;0.242370969793273;0.233753641009088;0.238194864402085;0.247697849221045;0.23931611840178;0.239798497294874;0.238747626163108;0.240319669370799;0.237250758184121;0.243630034357148;0.239533513918185;0.243257211731779;0.249657831794934;0.23901224401142;0.247817797764237;0.245912148089963;0.252597831154286;0.241642887058392;0.243083594808308;0.250866208407408;0.232979029428355;0.236501736895274;0.24255092790335;0.244772363120318;0.243255560359536;0.239447477707739;0.242729975712634;0.252727786500133;0.257895082310718;0.246142350301638;0.246057847806974;0.248883613952367;0.251595196914523;0.241470236691634;0.249402611292157;0.240252381114655;0.254090185183928;0.242135954873046;0.242240646228875;0.247952122955246;0.254177290130455;0.118092651283417;0.0809274202825174;0.0822044991833516;0.0839251760759432;0.0798514212147586;0.0803232581977594;0.0781591280771784;0.0845474821474729;0.0807470672830943;0.0810404479988859" 1
"2" "BEST" 6 6 1 1 1 1 0.8675 0.869739478957916 0.865269461077844 0.735010777572351 0.861 0.850333651096282 0.872765509989485 0.722291595069731 "X1;X11;X21;X31;X41;X91" "1.44604272518315;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.51610277075362;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.55456165980943;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.57736939627368;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.54624042843379;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.60290379845525;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.0930128441217571;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0974669286366751;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0973061455453522;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0990886885933797;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0957456748968991;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.100498568411019;NA;NA;NA;NA;NA;NA;NA;NA;NA" 1
"3" "CFS" 11 6 0.95 0.946808510638298 1 0.718638299704871 0.873 0.87374749498998 0.872255489021956 0.746001492004476 0.856 0.843660629170639 0.869610935856993 0.712443622463298 "X1;X5;X11;X15;X21;X28;X31;X33;X41;X49;X91" "1.6345477372642;NA;NA;NA;-0.195396455923644;NA;NA;NA;NA;NA;1.69094467653315;NA;NA;NA;-0.172422000639127;NA;NA;NA;NA;NA;1.52875907762181;NA;NA;NA;NA;NA;NA;0.0396416707794748;NA;NA;1.88528016086821;NA;-0.31681849280915;NA;NA;NA;NA;NA;NA;NA;1.40186722759382;NA;NA;NA;NA;NA;NA;NA;0.183292339235858;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.61601002547418;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.179133772835814;NA;NA;NA;0.168580680032451;NA;NA;NA;NA;NA;0.187121205031844;NA;NA;NA;0.17182824855737;NA;NA;NA;NA;NA;0.18346001526806;NA;NA;NA;NA;NA;NA;0.167170838151615;NA;NA;0.199244007009234;NA;0.182913924980082;NA;NA;NA;NA;NA;NA;NA;0.17366762002545;NA;NA;NA;NA;NA;NA;NA;0.166128974599603;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.101254583464114;NA;NA;NA;NA;NA;NA;NA;NA;NA" 1
"4" "CHI2" 51 6 0.55 0.521276595744681 1 0.247642198187029 0.878 0.877755511022044 0.878243512974052 0.755999023996096 0.85 0.8465204957102 0.853838065194532 0.699772388705725 "X91;X21;X11;X1;X30;X15;X28;X31;X5;X29;X41;X49;X18;X34;X19;X22;X10;X47;X13;X48;X23;X8;X26;X24;X43;X50;X4;X20;X14;X25;X16;X6;X45;X7;X12;X9;X27;X2;X33;X46;X3;X42;X36;X17;X40;X44;X38;X39;X37;X35;X32" "2.07583903280479;-0.157980069176632;0.130756808071345;-0.383619036506197;0.101923833438507;-0.158609614249098;-0.514676839448979;0.0930405604764693;0.0924058388809245;0.16583304049386;1.94825408613003;-0.208798577961837;0.204691929397679;-0.308683960457153;-0.0621298322447816;-0.217351555383278;-0.0991759916719905;0.12965398001047;0.0457194508836868;0.0968392338117316;1.70493760803237;-0.393504052572275;-0.281685341127962;0.00161592337519852;-0.274998763108477;0.137453993294801;-0.210823089383761;0.201889725747034;0.443191504495479;0.287519964441506;1.82873897055852;0.0720070539515081;-0.367173285716991;0.588908494572253;-0.362717937848467;-0.157128130529388;-0.191682549694735;-0.149815984253054;0.0423970323170393;0.304433608775576;1.45740920062011;-0.0332748302896732;0.0286723220168316;-0.0510896051771104;-0.175898050028997;0.0207567212924554;0.218203418060115;0.127035670920884;0.212874241700786;-0.175185745989768;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.69727075781667;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.246374158389024;0.222630138490873;0.23179885852424;0.226802966857206;0.22232259072101;0.227365347617718;0.226866228838753;0.242922306417254;0.225371809303167;0.229409815458704;0.245941437757584;0.231556779956765;0.231944764113257;0.222202580251241;0.223247640552107;0.237917034888313;0.229397144410269;0.222374345233684;0.23402740134857;0.233661522658563;0.242423934286093;0.231405764715574;0.22831159117881;0.231319303660009;0.225182119393368;0.219111573182454;0.220669979970807;0.2205703267866;0.227352946685181;0.223885474736281;0.259489084947678;0.223052244704074;0.23771497582029;0.233127654485927;0.22450339802849;0.231127292015681;0.230955760391623;0.227239646856892;0.226543645351393;0.223849607740376;0.230774681185178;0.228093648832704;0.226471485963418;0.225731563377677;0.233785150578565;0.229986045829097;0.231016877373075;0.2220997748593;0.229480268365251;0.225926573744355;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.107492633345154;NA;NA;NA;NA;NA;NA;NA;NA;NA" 1
"5" "CONS" 17 3 0.83 0.851063829787234 0.5 0.221953568256951 0.8515 0.857715430861723 0.845309381237525 0.703065942824535 0.8385 0.835081029551954 0.842271293375394 0.676767458849134 "X1;X2;X10;X11;X12;X16;X17;X22;X23;X25;X28;X34;X38;X47;X48;X49;X91" "1.56217395776327;-0.212854714769375;NA;NA;NA;NA;NA;NA;NA;-0.0950433720157927;1.67784838841206;-0.140898477509976;NA;NA;NA;-0.102205187625674;-0.134819578644477;NA;NA;NA;NA;0.120748395424896;0.32436359212734;NA;0.266631662330131;NA;NA;0.629856023206749;NA;NA;NA;NA;NA;1.02385990347013;NA;NA;NA;0.288098499324624;NA;NA;NA;NA;NA;NA;NA;NA;0.449572304236636;0.522675643924114;0.41476944025058;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.3955905946483;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.190293837262257;0.175486322039982;NA;NA;NA;NA;NA;NA;NA;0.177256848251634;0.198861456027617;0.188084376851486;NA;NA;NA;0.198166774199989;0.193574698069943;NA;NA;NA;NA;0.189763643555537;0.18790288958085;NA;0.184677589889064;NA;NA;0.183990044192354;NA;NA;NA;NA;NA;0.160766426359329;NA;NA;NA;0.157989591778667;NA;NA;NA;NA;NA;NA;NA;NA;0.181463821827333;0.180840324155837;0.182191516134865;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0892460840250083;NA;NA;NA;NA;NA;NA;NA;NA;NA" 1
"6" "IG" 51 6 0.55 0.521276595744681 1 0.247642198187029 0.878 0.877755511022044 0.878243512974052 0.755999023996096 0.85 0.8465204957102 0.853838065194532 0.699772388705725 "X91;X21;X11;X1;X30;X15;X28;X31;X41;X5;X29;X49;X19;X18;X34;X22;X10;X13;X47;X23;X48;X8;X26;X24;X43;X50;X4;X14;X20;X16;X25;X6;X45;X7;X12;X9;X2;X27;X33;X36;X3;X46;X40;X17;X42;X38;X44;X39;X37;X35;X32" "2.07583903280479;-0.157980069176633;0.130756808071344;-0.383619036506199;0.101923833438506;-0.158609614249098;-0.514676839448978;0.0930405604764697;0.0924058388809246;0.165833040493862;1.94825408613003;-0.208798577961837;0.204691929397678;-0.308683960457152;-0.0621298322447819;-0.217351555383278;-0.0991759916719918;0.12965398001047;0.0457194508836882;0.096839233811731;1.70493760803237;-0.393504052572276;-0.281685341127962;0.0016159233751984;-0.274998763108478;0.1374539932948;-0.210823089383761;0.201889725747035;0.443191504495479;0.287519964441506;1.82873897055852;0.0720070539515085;-0.36717328571699;0.588908494572255;-0.362717937848468;-0.157128130529388;-0.191682549694734;-0.149815984253055;0.0423970323170406;0.304433608775575;1.45740920062011;-0.033274830289673;0.0286723220168317;-0.0510896051771111;-0.175898050028998;0.0207567212924552;0.218203418060113;0.127035670920885;0.212874241700787;-0.175185745989767;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.69727075781667;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.246374158389024;0.222630138490873;0.23179885852424;0.226802966857206;0.222322590721011;0.227365347617718;0.226866228838752;0.242922306417254;0.225371809303167;0.229409815458704;0.245941437757583;0.231556779956765;0.231944764113257;0.222202580251241;0.223247640552107;0.237917034888313;0.229397144410269;0.222374345233683;0.23402740134857;0.233661522658562;0.242423934286093;0.231405764715574;0.228311591178809;0.231319303660009;0.225182119393368;0.219111573182453;0.220669979970807;0.2205703267866;0.227352946685181;0.223885474736281;0.259489084947678;0.223052244704073;0.23771497582029;0.233127654485927;0.22450339802849;0.231127292015681;0.230955760391622;0.227239646856892;0.226543645351393;0.223849607740375;0.230774681185177;0.228093648832704;0.226471485963418;0.225731563377677;0.233785150578565;0.229986045829097;0.231016877373075;0.2220997748593;0.229480268365251;0.225926573744355;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.107492633345154;NA;NA;NA;NA;NA;NA;NA;NA;NA" 1
"7" "IGR" 51 6 0.55 0.521276595744681 1 0.247642198187029 0.878 0.877755511022044 0.878243512974052 0.755999023996096 0.85 0.8465204957102 0.853838065194532 0.699772388705725 "X1;X33;X41;X91;X21;X31;X5;X46;X42;X15;X28;X49;X4;X44;X19;X13;X14;X29;X10;X11;X8;X23;X40;X37;X39;X18;X47;X36;X30;X22;X43;X34;X2;X9;X50;X3;X6;X24;X35;X32;X48;X26;X17;X20;X7;X45;X25;X12;X27;X38;X16" "2.0758390328048;-0.157980069176633;0.130756808071344;-0.383619036506199;0.101923833438506;-0.158609614249097;-0.514676839448979;0.0930405604764705;0.0924058388809253;0.165833040493861;1.94825408613003;-0.208798577961837;0.204691929397679;-0.308683960457151;-0.0621298322447801;-0.217351555383279;-0.0991759916719902;0.129653980010471;0.0457194508836881;0.0968392338117302;1.70493760803238;-0.393504052572275;-0.281685341127961;0.00161592337519798;-0.274998763108475;0.1374539932948;-0.210823089383759;0.201889725747034;0.443191504495479;0.287519964441504;1.82873897055853;0.0720070539515081;-0.367173285716987;0.588908494572253;-0.362717937848468;-0.157128130529388;-0.191682549694735;-0.149815984253053;0.0423970323170392;0.304433608775574;1.45740920062011;-0.0332748302896727;0.0286723220168325;-0.0510896051771112;-0.175898050029001;0.0207567212924557;0.218203418060114;0.127035670920884;0.212874241700787;-0.175185745989766;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.69727075781668;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.246374158389024;0.222630138490873;0.231798858524239;0.226802966857206;0.22232259072101;0.227365347617718;0.226866228838752;0.242922306417253;0.225371809303166;0.229409815458704;0.245941437757584;0.231556779956765;0.231944764113257;0.222202580251241;0.223247640552107;0.237917034888313;0.229397144410269;0.222374345233683;0.23402740134857;0.233661522658563;0.242423934286093;0.231405764715574;0.22831159117881;0.231319303660009;0.225182119393368;0.219111573182453;0.220669979970807;0.220570326786601;0.227352946685181;0.223885474736282;0.259489084947678;0.223052244704074;0.23771497582029;0.233127654485927;0.22450339802849;0.231127292015681;0.230955760391623;0.227239646856891;0.226543645351393;0.223849607740376;0.230774681185178;0.228093648832704;0.226471485963418;0.225731563377677;0.233785150578565;0.229986045829097;0.231016877373075;0.2220997748593;0.229480268365251;0.225926573744355;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.107492633345154;NA;NA;NA;NA;NA;NA;NA;NA;NA" 1
"8" "ONER" 51 6 0.55 0.521276595744681 1 0.247642198187029 0.878 0.877755511022044 0.878243512974052 0.755999023996096 0.85 0.8465204957102 0.853838065194532 0.699772388705725 "X1;X31;X41;X91;X10;X46;X42;X23;X28;X43;X47;X50;X29;X6;X21;X5;X44;X7;X34;X49;X4;X45;X22;X11;X33;X8;X9;X30;X39;X3;X18;X25;X12;X37;X40;X15;X26;X48;X2;X36;X27;X24;X35;X38;X32;X13;X17;X20;X16;X14;X19" "2.0758390328048;-0.157980069176632;0.130756808071344;-0.383619036506201;0.101923833438507;-0.158609614249096;-0.514676839448979;0.0930405604764693;0.0924058388809238;0.165833040493861;1.94825408613004;-0.208798577961837;0.204691929397677;-0.308683960457153;-0.0621298322447813;-0.217351555383278;-0.0991759916719907;0.129653980010471;0.0457194508836879;0.0968392338117307;1.70493760803238;-0.393504052572278;-0.281685341127961;0.00161592337519876;-0.274998763108477;0.137453993294801;-0.210823089383762;0.201889725747036;0.443191504495481;0.287519964441506;1.82873897055853;0.0720070539515074;-0.367173285716989;0.588908494572252;-0.36271793784847;-0.157128130529387;-0.191682549694734;-0.149815984253054;0.0423970323170395;0.304433608775575;1.45740920062011;-0.0332748302896726;0.0286723220168326;-0.0510896051771113;-0.175898050028999;0.0207567212924557;0.218203418060114;0.127035670920884;0.212874241700787;-0.175185745989769;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.69727075781668;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.246374158389024;0.222630138490873;0.23179885852424;0.226802966857207;0.222322590721011;0.227365347617718;0.226866228838752;0.242922306417254;0.225371809303167;0.229409815458704;0.245941437757584;0.231556779956764;0.231944764113257;0.222202580251241;0.223247640552107;0.237917034888313;0.229397144410269;0.222374345233684;0.23402740134857;0.233661522658563;0.242423934286093;0.231405764715575;0.22831159117881;0.231319303660009;0.225182119393368;0.219111573182453;0.220669979970808;0.220570326786601;0.227352946685182;0.223885474736282;0.259489084947678;0.223052244704074;0.23771497582029;0.233127654485927;0.224503398028491;0.231127292015681;0.230955760391623;0.227239646856892;0.226543645351393;0.223849607740376;0.230774681185177;0.228093648832704;0.226471485963418;0.225731563377677;0.233785150578565;0.229986045829098;0.231016877373075;0.2220997748593;0.229480268365252;0.225926573744355;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.107492633345154;NA;NA;NA;NA;NA;NA;NA;NA;NA" 1
"9" "RELIEF" 98 6 0.08 0.0212765957446809 1 0.0360922251885651 0.8865 0.88877755511022 0.884231536926148 0.773011024574076 0.8355 0.828408007626311 0.843322818086225 0.671032644320073 "X18;X100;X78;X14;X50;X93;X6;X48;X40;X75;X44;X13;X33;X41;X45;X20;X16;X95;X88;X90;X28;X11;X8;X2;X31;X34;X21;X89;X17;X70;X39;X73;X3;X38;X35;X29;X81;X22;X69;X9;X23;X47;X4;X19;X5;X26;X37;X99;X80;X85;X87;X59;X10;X66;X32;X84;X30;X67;X7;X71;X82;X1;X54;X76;X65;X63;X49;X42;X83;X36;X52;X91;X98;X60;X43;X46;X97;X24;X53;X15;X72;X12;X56;X61;X58;X77;X79;X86;X62;X51;X74;X94;X68;X96;X57;X25;X64;X55" "2.2411773185387;-0.315369893075162;0.128919465094007;-0.461551330081171;0.0919176962483653;-0.123223249816949;-0.575411559095931;0.250340764305117;0.128761248829262;0.167020395782238;2.07779146478923;-0.298797085057532;0.103571780691522;-0.439706017973909;0.0423361878930945;-0.194949236574491;-0.0245017536350615;0.14996739507637;0.0541529692829676;0.15569014231069;1.85107681717323;-0.432776412664085;-0.407456954007848;0.0080367188254642;-0.278281622810595;0.0487281380719638;NA;0.145590848074629;0.474035590715844;0.330146882106035;1.93283614455272;0.121731072614113;-0.356309910890199;0.583231301039292;-0.434040391158112;-0.146775653306015;-0.215910553686893;-0.152850572039654;0.064387053779735;0.299402230578496;1.58361603394883;-0.110365147191522;0.00194850442398299;0.130811262389708;-0.181712227965437;0.0868373780726667;0.185251676516931;0.100647163148518;0.142435087374136;-0.195055023252146;-0.0781496084495362;0.139705675128863;-0.252216838663756;-0.315945066457064;0.151259519810069;0.054273111705282;0.0108007054334311;0.499613561114593;-0.258781947474335;0.0165245369367355;-0.102409516769524;0.288126099967944;-0.0317143363467977;0.713721993260239;-0.396488663040919;-0.311744820981818;-0.106466614965011;0.444731859105188;-0.0461279589737658;-0.217625036560702;-0.226239234583813;-0.0844772985486736;0.428154313321674;-0.581668170722827;0.68866699309581;-0.0641843660522626;-0.527002572420143;-0.0676893118576934;0.741093148121855;-0.260376138351773;-0.053887041957448;0.367973629279911;-0.327623697184039;-0.185568647433681;-0.0285350863894937;-0.162584078067803;0.190964016069742;-0.164621520817998;0.0112641399623259;0.350252409057302;1.84382288613438;NA;0.0125383802708662;-0.103286869477232;-0.00877553500021118;-0.04493186738665;0.02785817101407;0.116603027270342;-0.0263228655783243;-0.135584431402268" "0.264651289061024;0.236301297558699;0.244451519662764;0.242462626021868;0.23635420947264;0.240133245247965;0.242624295055863;0.257814954418517;0.238488705579857;0.243082357237238;0.265227286728136;0.246193949169576;0.244162016448249;0.236170223966258;0.235036200054929;0.252920395094397;0.241992625865677;0.241352268834646;0.251215342073994;0.249153508698127;0.258016065373787;0.243643985382592;0.241974528073991;0.242431310250055;0.236158193578772;0.228893833492585;NA;0.230659291071928;0.239872980863984;0.23607920651622;0.279556673224459;0.237748420680874;0.251422097020033;0.247400221906555;0.238225970680189;0.244090153969165;0.244758763672249;0.237603889755077;0.241895238924546;0.236921081436087;0.247930573706073;0.240379578523794;0.238092399961809;0.241471424526976;0.245129730303153;0.246643164380993;0.243911302768823;0.237027344403106;0.242592488291306;0.241268028213559;0.234287197862684;0.237373840618938;0.247391726706016;0.238863126607771;0.239345634209808;0.238668957843868;0.239993156408129;0.23633413090131;0.243666667517003;0.238916986718644;0.242436450604472;0.247383636292365;0.23907652467527;0.247324203778039;0.245340092996508;0.251020678086507;0.241124262534387;0.242413665890079;0.250015492950188;0.232428309084361;0.236237332879846;0.242305037007913;0.244219016691779;0.242329526385095;0.238573879376088;0.241435003087409;0.251749206869444;0.256998376925466;0.245696315290757;0.24541896725698;0.248258174670531;0.250877379226226;0.241554461900762;0.248788822006965;0.240095596155318;0.253445529064986;0.24159444353209;0.241341189965687;0.24689118965977;0.254017415572774;0.117746939828737;NA;0.0820290159062185;0.0835142400082489;0.0795844498167234;0.0801999966390605;0.0780710209274731;0.0843412778266809;0.08062658460047;0.0811150901804191" 1
"10" "RFI" 1 1 0.95 1 0.166666666666667 0.39780542762657 0.6265 0.620240480961924 0.632734530938124 0.252995885005104 0.622 0.604385128693994 0.64143007360673 0.24559668476269 "X91" "NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.714934517802934;NA;NA;NA;NA;NA;NA;NA;NA;NA" "NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0519900994694336;NA;NA;NA;NA;NA;NA;NA;NA;NA" 1
