"Approach" "NbVarSelected" "NbVarInf" "Accuracy_selection" "Specificity_selection" "Sensitivity_selection" "MCC_selection" "Accuracy_training" "Specificity_training" "Sensitivity_training" "MCC_training" "Accuracy_test" "Specificity_test" "Sensitivity_test" "MCC_test" "VarSelected" "coef_estimate" "std_estimate" "Simulation"
"1" "BASELINE" 100 6 0.06 0 1 0 0.8755 0.866053169734151 0.88454011741683 0.750871671423479 0.8595 0.855044074436827 0.86414708886619 0.71904550709964 "X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;X11;X12;X13;X14;X15;X16;X17;X18;X19;X20;X21;X22;X23;X24;X25;X26;X27;X28;X29;X30;X31;X32;X33;X34;X35;X36;X37;X38;X39;X40;X41;X42;X43;X44;X45;X46;X47;X48;X49;X50;X51;X52;X53;X54;X55;X56;X57;X58;X59;X60;X61;X62;X63;X64;X65;X66;X67;X68;X69;X70;X71;X72;X73;X74;X75;X76;X77;X78;X79;X80;X81;X82;X83;X84;X85;X86;X87;X88;X89;X90;X91;X92;X93;X94;X95;X96;X97;X98;X99;X100" "1.48598717432578;-0.0671798640766918;0.102646131086014;0.00792549552181487;-0.106240082893871;-0.0350061068994236;0.103240499693861;0.154904799107502;-0.0663712400006118;-0.0622740021426234;1.60694389650676;-0.0882852279424753;0.09484419472332;0.0909934455665035;0.0464442371646799;-0.101284339696534;-0.098173906112625;0.0825466436301137;0.0182483178001579;-0.0557275212780144;1.66805285870498;0.0900338770572173;-0.0361428448869421;-0.0656350725074834;-0.064864616223046;0.0555426809180065;-0.13721950176369;-0.039721715820308;0.1166542466866;0.128375155460705;1.42697361810665;0.124308765910976;0.0588723671615039;0.0106989474916484;-0.0490558928926887;0.0125019667461788;0.0966242899080649;-0.209308200025094;0.126769595500638;-0.00992220541655427;1.43424030398249;0.187190440683213;0.0414063236320999;-0.0652914297037526;-0.0116448354241578;0.091357222388884;-0.124661053074882;-0.031625397156877;0.0157110129668115;0.00861360965602549;-0.0480225764669386;-0.0719957709186371;0.167419500814833;-0.0742628069072161;-0.00940122241537995;-0.0153983070831314;-0.0611676296576918;-0.0367677534361958;0.0874755429687287;-0.0130815615261334;0.0919384939417157;0.0745107930209807;-0.255821705956855;-0.0826285005334603;0.0231471351548503;-0.000291872642382548;0.136824825049234;0.0210791315227471;0.12332619456819;-0.130194542649517;-0.0874236591940319;-0.11458438794332;-0.0779397324894892;-0.0657811255329671;0.102165221878755;0.168027572797615;-0.00473133406118308;0.126891528638858;0.0287068102477235;-0.0106671109684789;-0.00844471744569566;0.0743573778417225;0.00381001953454684;0.0234129311946246;0.155929071021396;0.0130223796705584;-0.245500584290627;0.139322535790735;0.0654888763227319;-0.176117837179692;1.60838290546316;0.054149506716618;-0.0924137664520126;-0.159049291888381;-0.0959946468054408;-0.0909915768869424;0.0869358999677698;-0.144146286541763;0.0749193981672489;-0.0727116893743377" "0.130052334045845;0.119005513558751;0.117405673523384;0.114391571560518;0.119782363578963;0.116049833932887;0.114807556558312;0.11302813276482;0.117751291819747;0.117656553974709;0.130376366745999;0.117138842275724;0.11605332240124;0.116207825008921;0.119057012657585;0.112204493189001;0.114935887916252;0.116223565390047;0.113315041714426;0.112677597302062;0.13476924767582;0.110248949051733;0.119774389824206;0.115811871643235;0.11689620601689;0.119562619560068;0.117371878202753;0.115761771422499;0.116019462003931;0.115589945810059;0.131177265685045;0.119003090099747;0.115808975872175;0.113243453257779;0.115849155231516;0.113066869386402;0.112867124329013;0.112106311740367;0.116839345559046;0.115628148044167;0.13162283182235;0.114016896409724;0.119187326164272;0.115619967713723;0.115143084557695;0.121597802801147;0.117578113342618;0.113657709315387;0.111251430553061;0.1131898975134;0.115958314626157;0.115601142169084;0.115640832301214;0.116708101239811;0.115302037562285;0.115216597308098;0.116557398875898;0.112251256302619;0.111287370358762;0.118630664284624;0.113466849431084;0.119030512126719;0.114910839721174;0.111174250325275;0.116036795041202;0.116333349016835;0.11269540440493;0.118244226080605;0.115421242910626;0.111017848866473;0.116119363580498;0.116650296389433;0.115367971870621;0.115609890931699;0.11028202461778;0.115008159283538;0.11959684337061;0.117138624734775;0.117576753008892;0.119518880146478;0.113833096283039;0.115032258675999;0.117482213853272;0.115861411345318;0.11350508935861;0.115955800291571;0.115930548824423;0.118250746134587;0.118851534235849;0.114794406127706;0.104396364097464;0.0774445275965979;0.0758038623592226;0.0823935141131638;0.0759497752422698;0.0748283247495016;0.0751526177872835;0.0767939276767781;0.0757194237319419;0.076162104812098" 2
"2" "BEST" 6 6 1 1 1 1 0.859 0.853783231083845 0.86399217221135 0.717844353034506 0.871 0.863858961802155 0.878447395301328 0.742143031573809 "X1;X11;X21;X31;X41;X91" "1.48206147120402;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.53767653975394;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.59743659673082;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.44975660145962;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.4322292509259;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.52803873839289;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.0919529654016455;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0948844856670207;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0984167353484216;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0926654607555398;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0939688244779232;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0963871483604391;NA;NA;NA;NA;NA;NA;NA;NA;NA" 2
"3" "CFS" 12 6 0.94 0.936170212765957 1 0.684167454928235 0.859 0.85480572597137 0.863013698630137 0.71785246256505 0.8665 0.85896180215475 0.874361593462717 0.733161679977618 "X1;X8;X11;X20;X21;X25;X30;X31;X32;X41;X42;X91" "1.40596567698347;NA;NA;NA;NA;NA;NA;0.132085091611551;NA;NA;1.55342413468842;NA;NA;NA;NA;NA;NA;NA;NA;-0.0203859888258038;1.53386010674737;NA;NA;NA;-0.0314918593466748;NA;NA;NA;NA;0.139114763030382;1.38259049073447;0.106993731872284;NA;NA;NA;NA;NA;NA;NA;NA;1.35942411087238;0.142447995699925;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.53839902735248;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.104754281857205;NA;NA;NA;NA;NA;NA;0.0897573359879167;NA;NA;0.110266986280139;NA;NA;NA;NA;NA;NA;NA;NA;0.0855844998148471;0.11471062971307;NA;NA;NA;0.09694736893764;NA;NA;NA;NA;0.0925090862295148;0.109692718105595;0.092482277787777;NA;NA;NA;NA;NA;NA;NA;NA;0.104666125302005;0.0884607035604269;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0969995458299494;NA;NA;NA;NA;NA;NA;NA;NA;NA" 2
"4" "CHI2" 51 6 0.55 0.521276595744681 1 0.247642198187029 0.8635 0.855828220858896 0.870841487279843 0.726843164873805 0.8675 0.863858961802155 0.871297242083759 0.735017605006977 "X1;X21;X11;X91;X31;X41;X25;X30;X8;X32;X23;X28;X26;X7;X22;X27;X24;X3;X42;X5;X20;X29;X33;X43;X13;X45;X18;X14;X9;X39;X34;X10;X15;X12;X36;X6;X2;X19;X4;X40;X46;X50;X37;X44;X38;X16;X48;X47;X49;X35;X17" "1.45924908639109;-0.0952115092002123;0.0870903521729631;0.0110325033563704;-0.0472487408295631;-0.0382103498331903;0.119063399222616;0.168219768296936;-0.0856410348332197;-0.0550776024551923;1.55387162405192;-0.0714543403336787;0.0484021030974651;0.0705791807794218;0.0194415543048222;-0.0500255003918186;-0.0913500351643292;0.0633215068747034;0.0438708897712001;-0.0478332529785311;1.55850794276933;0.0850965942551314;0.0188214831064132;-0.0746370619308532;-0.0635595622431688;0.0384816648932501;-0.133250873625427;-0.0217307090711411;0.0996796447863112;0.139372999412422;1.38358667602743;0.125265341107665;0.0210328207315869;0.0175443037638845;-0.0979790512553013;0.0353202890379776;0.0895003843452069;-0.207763773463618;0.126249075300221;0.0212495634726048;1.40875189916142;0.169307226135581;0.0723609228119549;-0.0312454105364637;-0.0125971071519102;0.0753066298253108;-0.118120242270463;-0.0338247160121822;-0.00269387170803722;-0.0368472429189311;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.56145358178428;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.124123277707065;0.112909770580319;0.110896910874747;0.109776283929613;0.114240657813123;0.110488660085512;0.10958317665723;0.109306963524985;0.11156404833461;0.111077449733978;0.124937811226139;0.111108204533005;0.110443050884375;0.109517865220411;0.113689171434042;0.106956668148753;0.109393472812461;0.110342547986064;0.107756516648682;0.10808759184982;0.126339956576451;0.10506982255319;0.113433629982098;0.109999512594273;0.111348998744151;0.113232689511472;0.111104393930031;0.11071480868681;0.109514446418422;0.110848432741436;0.125765731328775;0.113604686754249;0.110949866546304;0.10907681788202;0.11124253519614;0.10836698687393;0.109179237673506;0.106282384128579;0.11160988455959;0.109412206914225;0.12531075466149;0.107345219235425;0.113835438706636;0.11052598125057;0.110092454053607;0.115733759049415;0.111751150195444;0.107456401457199;0.106219626752754;0.108172538484929;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.09946706103916;NA;NA;NA;NA;NA;NA;NA;NA;NA" 2
"5" "CONS" 15 6 0.91 0.904255319148936 1 0.601416767025641 0.858 0.849693251533742 0.865949119373777 0.715835766279677 0.869 0.863858961802155 0.874361593462717 0.738066985577226 "X1;X3;X5;X7;X11;X18;X21;X23;X28;X30;X31;X34;X41;X43;X91" "1.42530839874366;NA;0.0650932492616639;NA;-0.0523667455694317;NA;0.0794725341054419;NA;NA;NA;1.51440898584918;NA;NA;NA;NA;NA;NA;0.0340681782166114;NA;NA;1.53397975787058;NA;0.00575785573314019;NA;NA;NA;NA;-0.024379246249815;NA;0.131701319542906;1.41995892441154;NA;NA;0.0498756773022066;NA;NA;NA;NA;NA;NA;1.39415207644397;NA;0.0614098716472504;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.53321698895257;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.114059464223669;NA;0.102401313713555;NA;0.104672765008424;NA;0.0985944749603587;NA;NA;NA;0.107612688806157;NA;NA;NA;NA;NA;NA;0.086321116744894;NA;NA;0.116750670474306;NA;0.10424796060515;NA;NA;NA;NA;0.0991328933939713;NA;0.0987711618434585;0.108863728522822;NA;NA;0.0901550903369762;NA;NA;NA;NA;NA;NA;0.109333880062841;NA;0.0913119093079238;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0966350552302294;NA;NA;NA;NA;NA;NA;NA;NA;NA" 2
"6" "IG" 4 4 0.98 1 0.666666666666667 0.807946642902722 0.777 0.764826175869121 0.788649706457926 0.553700839422655 0.7795 0.774730656219393 0.784473953013279 0.55908240918494 "X1;X21;X11;X91" "0.939100709262584;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.976803180486431;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.983996397060655;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.966970064449744;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.0648194365164337;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0666568586173634;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0666869802552764;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0674780356843216;NA;NA;NA;NA;NA;NA;NA;NA;NA" 2
"7" "IGR" 51 6 0.55 0.521276595744681 1 0.247642198187029 0.8635 0.855828220858896 0.870841487279843 0.726843164873805 0.8675 0.863858961802155 0.871297242083759 0.735017605006977 "X1;X21;X91;X25;X11;X31;X22;X32;X41;X8;X20;X30;X24;X28;X9;X33;X29;X13;X10;X26;X23;X7;X27;X14;X39;X36;X3;X5;X34;X2;X42;X38;X16;X12;X15;X43;X6;X18;X19;X46;X4;X40;X50;X44;X37;X45;X47;X48;X49;X35;X17" "1.45924908639109;-0.0952115092002126;0.087090352172963;0.0110325033563703;-0.0472487408295628;-0.0382103498331905;0.119063399222616;0.168219768296935;-0.08564103483322;-0.055077602455192;1.55387162405192;-0.071454340333679;0.0484021030974658;0.0705791807794213;0.0194415543048223;-0.0500255003918188;-0.091350035164329;0.0633215068747037;0.0438708897712004;-0.0478332529785308;1.55850794276933;0.085096594255131;0.0188214831064137;-0.0746370619308534;-0.0635595622431682;0.0384816648932499;-0.133250873625428;-0.0217307090711411;0.0996796447863114;0.139372999412422;1.38358667602743;0.125265341107666;0.0210328207315864;0.0175443037638845;-0.0979790512553006;0.035320289037977;0.0895003843452068;-0.207763773463617;0.126249075300221;0.0212495634726048;1.40875189916142;0.169307226135581;0.0723609228119548;-0.0312454105364637;-0.0125971071519101;0.0753066298253105;-0.118120242270463;-0.0338247160121808;-0.00269387170803742;-0.0368472429189312;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.56145358178428;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.124123277707065;0.112909770580319;0.110896910874747;0.109776283929613;0.114240657813123;0.110488660085512;0.10958317665723;0.109306963524985;0.11156404833461;0.111077449733978;0.124937811226139;0.111108204533005;0.110443050884375;0.109517865220411;0.113689171434042;0.106956668148753;0.109393472812461;0.110342547986064;0.107756516648682;0.10808759184982;0.126339956576451;0.10506982255319;0.113433629982098;0.109999512594273;0.111348998744151;0.113232689511472;0.111104393930031;0.11071480868681;0.109514446418422;0.110848432741436;0.125765731328775;0.113604686754249;0.110949866546304;0.10907681788202;0.11124253519614;0.10836698687393;0.109179237673506;0.106282384128579;0.11160988455959;0.109412206914225;0.12531075466149;0.107345219235425;0.113835438706636;0.11052598125057;0.110092454053607;0.115733759049415;0.111751150195444;0.107456401457199;0.106219626752754;0.108172538484929;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0994670610391602;NA;NA;NA;NA;NA;NA;NA;NA;NA" 2
"8" "ONER" 51 6 0.55 0.521276595744681 1 0.247642198187029 0.8635 0.855828220858896 0.870841487279843 0.726843164873805 0.8675 0.863858961802155 0.871297242083759 0.735017605006977 "X21;X1;X11;X91;X31;X41;X25;X22;X24;X28;X26;X29;X7;X33;X14;X8;X30;X13;X23;X27;X9;X34;X15;X39;X5;X3;X6;X36;X4;X2;X37;X40;X44;X50;X12;X45;X19;X48;X49;X46;X38;X16;X10;X32;X35;X47;X18;X17;X43;X42;X20" "1.4592490863911;-0.0952115092002127;0.0870903521729632;0.0110325033563705;-0.0472487408295622;-0.0382103498331892;0.119063399222615;0.168219768296935;-0.08564103483322;-0.0550776024551921;1.55387162405192;-0.0714543403336789;0.0484021030974652;0.0705791807794213;0.0194415543048236;-0.0500255003918188;-0.091350035164329;0.0633215068747034;0.0438708897712001;-0.0478332529785309;1.55850794276933;0.085096594255131;0.0188214831064136;-0.0746370619308531;-0.0635595622431676;0.0384816648932497;-0.133250873625427;-0.0217307090711411;0.0996796447863108;0.139372999412422;1.38358667602743;0.125265341107666;0.0210328207315863;0.0175443037638838;-0.0979790512553005;0.0353202890379782;0.0895003843452071;-0.207763773463618;0.126249075300222;0.0212495634726053;1.40875189916142;0.16930722613558;0.0723609228119554;-0.0312454105364636;-0.0125971071519108;0.0753066298253108;-0.118120242270463;-0.0338247160121815;-0.00269387170803658;-0.0368472429189317;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.56145358178427;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.124123277707065;0.112909770580319;0.110896910874747;0.109776283929613;0.114240657813123;0.110488660085512;0.10958317665723;0.109306963524985;0.11156404833461;0.111077449733978;0.124937811226139;0.111108204533005;0.110443050884375;0.109517865220411;0.113689171434042;0.106956668148753;0.109393472812461;0.110342547986064;0.107756516648682;0.10808759184982;0.12633995657645;0.10506982255319;0.113433629982098;0.109999512594273;0.111348998744151;0.113232689511471;0.111104393930031;0.11071480868681;0.109514446418422;0.110848432741436;0.125765731328775;0.113604686754249;0.110949866546304;0.10907681788202;0.11124253519614;0.10836698687393;0.109179237673506;0.106282384128579;0.11160988455959;0.109412206914225;0.12531075466149;0.107345219235425;0.113835438706636;0.11052598125057;0.110092454053607;0.115733759049414;0.111751150195444;0.107456401457199;0.106219626752754;0.108172538484929;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.09946706103916;NA;NA;NA;NA;NA;NA;NA;NA;NA" 2
"9" "RELIEF" 1 0 0.93 0.98936170212766 0 -0.0253918358059513 0.5065 0.0347648261758691 0.957925636007828 -0.0189910854499079 0.4875 0.0548481880509305 0.938712972420838 -0.0137702674281822 "X100" "NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0.0255835825784023" "NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0445661550850475" 2
"10" "RFI" 6 6 1 1 1 1 0.859 0.853783231083845 0.86399217221135 0.717844353034506 0.871 0.863858961802155 0.878447395301328 0.742143031573809 "X91;X21;X1;X11;X31;X41" "1.48206147120402;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.53767653975394;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.59743659673082;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.44975660145962;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.4322292509259;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.52803873839289;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.0919529654016456;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0948844856670209;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0984167353484217;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0926654607555401;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0939688244779234;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0963871483604394;NA;NA;NA;NA;NA;NA;NA;NA;NA" 2
