"Approach" "NbVarSelected" "NbVarInf" "Accuracy_selection" "Specificity_selection" "Sensitivity_selection" "MCC_selection" "Accuracy_training" "Specificity_training" "Sensitivity_training" "MCC_training" "Accuracy_test" "Specificity_test" "Sensitivity_test" "MCC_test" "VarSelected" "coef_estimate" "std_estimate" "Simulation"
"1" "BASELINE" 100 6 0.06 0 1 0 0.8705 0.874251497005988 0.866733466933868 0.741013493622686 0.8435 0.841222879684418 0.845841784989858 0.687005916665162 "X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;X11;X12;X13;X14;X15;X16;X17;X18;X19;X20;X21;X22;X23;X24;X25;X26;X27;X28;X29;X30;X31;X32;X33;X34;X35;X36;X37;X38;X39;X40;X41;X42;X43;X44;X45;X46;X47;X48;X49;X50;X51;X52;X53;X54;X55;X56;X57;X58;X59;X60;X61;X62;X63;X64;X65;X66;X67;X68;X69;X70;X71;X72;X73;X74;X75;X76;X77;X78;X79;X80;X81;X82;X83;X84;X85;X86;X87;X88;X89;X90;X91;X92;X93;X94;X95;X96;X97;X98;X99;X100" "1.58267874044492;0.159339420500275;-0.021581169090144;0.0769198823153025;0.166277631413718;-0.0289270027304739;0.0511134004553807;-0.138720768226867;-0.131354574006545;-0.144814422481335;1.3134980927966;-0.0402820537382118;-0.0696255442431834;0.0482951210795136;0.174738377849129;0.00376212882133766;-0.0238595941978087;-0.0790571786126891;0.0716982124564035;-0.0239853559514071;1.61005775266459;-0.145796983868355;0.0374588959737623;-0.110101851810601;-0.0406694726326346;-0.0720663035496992;0.22426937526065;0.0627851828639576;-0.0700211737199576;0.0776134864331599;1.38595266763575;-0.0284889846391785;0.196535896916072;0.0589894635832522;0.0276838821081028;-0.0546884143898752;-0.1537985747499;0.167598018363568;-0.0480207333226498;-0.079895941105139;1.50974141315943;-0.0179535478344876;0.123850526748911;0.0654240001565456;-0.148591422447265;-0.0687449584121145;0.0370178083794553;-0.0138299863245028;-0.133490295726183;0.237609610717794;0.0331841797989153;-0.087963347510076;-0.0254913599831973;-0.0856473300931118;0.0354718068439467;-0.0387526239817816;-0.0741293521633024;-0.166144697397807;-0.00658210014960945;0.262506171004012;0.0168411298126987;-0.0946206884160843;0.00652110945979624;0.0192626256807601;0.119571255292335;-0.108139485290809;-0.0159443157115992;0.12599728770591;0.0134157230997734;-0.159898098851886;0.0889314002068457;-0.0988299414646741;-0.0588738738494411;-0.104087180786715;0.0302961182693208;0.0704560758253472;-0.0091114828419666;0.0274740049875657;-0.0275910253352675;-0.122288213557476;0.00707020616091656;-0.00114559501659398;-0.0998459046254425;0.172028822036938;-0.0944586941545938;0.0317248861043331;0.0773685819851106;0.103991828405544;-0.00130086825450964;-0.0189372719613072;1.56742047635403;0.0784127433094239;-0.0188484825583352;-0.0110122018562413;0.0296027471220973;0.0251270837707517;-0.0728645445164975;-0.0339282542519753;0.0357194295219092;-0.0633843318540212" "0.109802310276762;0.0862015694437108;0.0844622602069561;0.0860883032004811;0.0871556210540686;0.0868596607926414;0.0852171342093425;0.0910540799210901;0.0883479906465699;0.0871279554396335;0.102250654784198;0.0872460471492427;0.0878303646672846;0.0883632698334918;0.087327874677431;0.0870152169225769;0.0847187636907969;0.0889436419231505;0.0899430245651147;0.0864188289996441;0.112360222198318;0.0895139731514756;0.0900830093968165;0.0918082241377164;0.0879726893811121;0.0859168154873438;0.0906193108474517;0.0891846943086575;0.0901158278091805;0.0897207949022912;0.107475370902666;0.0865765761199072;0.0901507053593072;0.0904014310365507;0.0919664146361416;0.0872391815019495;0.0886667563371181;0.0883966084054705;0.0898182514980517;0.0892451669255763;0.112633045694946;0.0865880789129951;0.0894040893627564;0.0914220345711985;0.0853509562672848;0.0921029400406713;0.0869904011975981;0.0893080118027078;0.0879613254179874;0.0864507792959511;0.0877915831498741;0.0911883872588386;0.0865267035915097;0.0878625766658281;0.0894496699765354;0.089835672128588;0.0887406477930819;0.0865697772169704;0.0852568378717815;0.0891127947642173;0.0846038001909548;0.0897758385861251;0.0882292302755795;0.0881837561658834;0.0880893250919439;0.0939041703010069;0.0900199858918787;0.0885998924639242;0.0888750345693452;0.0883923188980858;0.0896221250821591;0.0873505707859433;0.0861767712877465;0.0878012187325998;0.0895649200549343;0.0879110577572415;0.0920857016605333;0.0901043705558416;0.0868325222736765;0.0886013633741295;0.0873005094758944;0.088727999799256;0.0861615824396456;0.0869620816212618;0.0894178075330117;0.0886825834873513;0.088384715464033;0.0912305915905664;0.0923101708134137;0.08878453604372;0.103366341006606;0.0780961501998851;0.0765474566148742;0.075658533474736;0.0787089463382352;0.0803660234594453;0.0794662475325111;0.0759564828939781;0.0774183249017445;0.0748363371760825" 3
"2" "BEST" 6 6 1 1 1 1 0.862 0.857285429141717 0.866733466933868 0.724040617706831 0.8665 0.857001972386588 0.876267748478702 0.733227553228407 "X1;X11;X21;X31;X41;X91" "1.46184686077554;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.23866398216128;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.45917615285551;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.35750168718965;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.4572169610191;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.42171442012571;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.0894702583066044;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.086043622869641;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0912297108230195;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0897509567490588;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0929663245273555;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0906875813812237;NA;NA;NA;NA;NA;NA;NA;NA;NA" 3
"3" "CFS" 6 6 1 1 1 1 0.862 0.857285429141717 0.866733466933868 0.724040617706831 0.8665 0.857001972386588 0.876267748478702 0.733227553228407 "X1;X11;X21;X31;X41;X91" "1.46184686077554;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.23866398216128;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.45917615285551;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.35750168718965;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.4572169610191;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.42171442012571;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.0894702583066044;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.086043622869641;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0912297108230195;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0897509567490588;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0929663245273555;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0906875813812237;NA;NA;NA;NA;NA;NA;NA;NA;NA" 3
"4" "CHI2" 6 6 1 1 1 1 0.862 0.857285429141717 0.866733466933868 0.724040617706831 0.8665 0.857001972386588 0.876267748478702 0.733227553228407 "X1;X21;X91;X41;X31;X11" "1.46184686077554;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.23866398216128;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.45917615285551;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.35750168718965;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.4572169610191;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.42171442012571;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.0894702583066044;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0860436228696411;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0912297108230194;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0897509567490589;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0929663245273555;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0906875813812237;NA;NA;NA;NA;NA;NA;NA;NA;NA" 3
"5" "CONS" 19 6 0.87 0.861702127659574 1 0.521647832705343 0.8615 0.857285429141717 0.865731462925852 0.723033160561778 0.8615 0.855029585798817 0.86815415821501 0.723116122563718 "X1;X6;X11;X15;X21;X23;X25;X27;X28;X31;X33;X38;X41;X42;X43;X46;X47;X50;X91" "1.49185655074054;NA;NA;NA;NA;-0.0224952899406339;NA;NA;NA;NA;1.21328578329404;NA;NA;NA;0.124252797838999;NA;NA;NA;NA;NA;1.45459006957071;NA;-0.0442860945603056;NA;-0.0577599372838399;NA;0.169180757089094;0.0139762848788742;NA;NA;1.283799492837;NA;0.133621201258738;NA;NA;NA;NA;0.120302915933301;NA;NA;1.407019520541;-0.0389479931980284;0.069940140185154;NA;NA;-0.0680317008152969;0.0342849569114876;NA;NA;0.18607496927482;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.44821484594732;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.0941254396642735;NA;NA;NA;NA;0.0746703244857041;NA;NA;NA;NA;0.0888979921343766;NA;NA;NA;0.0725337456066306;NA;NA;NA;NA;NA;0.0995847738401448;NA;0.0811640944982075;NA;0.0802083370967384;NA;0.0806845078309375;0.0803453403085524;NA;NA;0.0941393957126139;NA;0.0781167561830377;NA;NA;NA;NA;0.0767125984292041;NA;NA;0.100842009745561;0.0787623224068905;0.082127485404301;NA;NA;0.0821941769341069;0.0781509009181301;NA;NA;0.0781279491600977;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0930043747672077;NA;NA;NA;NA;NA;NA;NA;NA;NA" 3
"6" "IG" 6 6 1 1 1 1 0.862 0.857285429141717 0.866733466933868 0.724040617706831 0.8665 0.857001972386588 0.876267748478702 0.733227553228407 "X1;X21;X91;X41;X31;X11" "1.46184686077554;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.23866398216128;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.45917615285551;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.35750168718965;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.4572169610191;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.42171442012571;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.0894702583066044;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0860436228696411;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0912297108230194;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0897509567490589;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0929663245273555;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0906875813812237;NA;NA;NA;NA;NA;NA;NA;NA;NA" 3
"7" "IGR" 20 6 0.86 0.851063829787234 1 0.505291152639911 0.8615 0.857285429141717 0.865731462925852 0.723033160561778 0.861 0.855029585798817 0.867139959432049 0.722100213349106 "X91;X1;X11;X41;X21;X31;X12;X6;X50;X43;X25;X33;X42;X27;X15;X46;X47;X23;X38;X28" "1.49150687766824;NA;NA;NA;NA;-0.0221577446962673;NA;NA;NA;NA;1.21120732791854;0.0106223805459105;NA;NA;0.12197660263545;NA;NA;NA;NA;NA;1.45421758796343;NA;-0.0441959939783368;NA;-0.0574361359942733;NA;0.169306732573846;0.0140158982949408;NA;NA;1.28345493946742;NA;0.1330839264894;NA;NA;NA;NA;0.120420060282765;NA;NA;1.40678495351481;-0.0387095249589338;0.0699104003210106;NA;NA;-0.0679760875513678;0.0341020885594135;NA;NA;0.185631721327262;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.44755530158412;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.0941556012072616;NA;NA;NA;NA;0.0746974986838918;NA;NA;NA;NA;0.0901201934740477;0.0757176729437325;NA;NA;0.0743228770859242;NA;NA;NA;NA;NA;0.0996205578768239;NA;0.08116134607774;NA;0.0802473410924078;NA;0.080683454576003;0.0803558278699648;NA;NA;0.0941604615026747;NA;0.0782157962885015;NA;NA;NA;NA;0.076723033828494;NA;NA;0.10085906847635;0.0787866021909791;0.0821309216171688;NA;NA;0.0821864288771843;0.0781686870328972;NA;NA;0.0781792895914793;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0930896122263752;NA;NA;NA;NA;NA;NA;NA;NA;NA" 3
"8" "ONER" 6 6 1 1 1 1 0.862 0.857285429141717 0.866733466933868 0.724040617706831 0.8665 0.857001972386588 0.876267748478702 0.733227553228407 "X21;X41;X11;X31;X1;X91" "1.46184686077554;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.23866398216128;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.45917615285551;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.35750168718965;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.4572169610191;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.42171442012571;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.0894702583066041;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0860436228696408;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0912297108230193;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0897509567490587;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0929663245273552;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0906875813812236;NA;NA;NA;NA;NA;NA;NA;NA;NA" 3
"9" "RELIEF" 2 0 0.92 0.978723404255319 0 -0.0360922251885651 0.5365 0.55189620758483 0.521042084168337 0.0729732179357433 0.541 0.561143984220907 0.520283975659229 0.0814918871186868 "X86;X20" "NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.161374650998312;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0.00416054278441481;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.044759809564614;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0461906138269101;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" 3
"10" "RFI" 6 6 1 1 1 1 0.862 0.857285429141717 0.866733466933868 0.724040617706831 0.8665 0.857001972386588 0.876267748478702 0.733227553228407 "X91;X1;X21;X41;X11;X31" "1.46184686077554;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.23866398216127;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.45917615285551;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.35750168718965;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.4572169610191;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.42171442012571;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.0894702583066043;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0860436228696409;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0912297108230196;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0897509567490588;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0929663245273556;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0906875813812237;NA;NA;NA;NA;NA;NA;NA;NA;NA" 3
