"Approach" "NbVarSelected" "NbVarInf" "Accuracy_selection" "Specificity_selection" "Sensitivity_selection" "MCC_selection" "Accuracy_training" "Specificity_training" "Sensitivity_training" "MCC_training" "Accuracy_test" "Specificity_test" "Sensitivity_test" "MCC_test" "VarSelected" "coef_estimate" "std_estimate" "Simulation"
"1" "BASELINE" 100 6 0.06 0 1 0 0.8805 0.871820956256358 0.888888888888889 0.760942415796788 0.8385 0.837325349301397 0.839679358717435 0.677003692509993 "X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;X11;X12;X13;X14;X15;X16;X17;X18;X19;X20;X21;X22;X23;X24;X25;X26;X27;X28;X29;X30;X31;X32;X33;X34;X35;X36;X37;X38;X39;X40;X41;X42;X43;X44;X45;X46;X47;X48;X49;X50;X51;X52;X53;X54;X55;X56;X57;X58;X59;X60;X61;X62;X63;X64;X65;X66;X67;X68;X69;X70;X71;X72;X73;X74;X75;X76;X77;X78;X79;X80;X81;X82;X83;X84;X85;X86;X87;X88;X89;X90;X91;X92;X93;X94;X95;X96;X97;X98;X99;X100" "1.56811143868508;-0.0824143700811691;0.0642954375179271;-0.126923430048506;-0.028504414474975;0.0312025920548246;-0.0243263121176556;0.127812512805043;0.122685701735626;-0.14660661335944;1.56635259775668;-0.196362674129989;-0.177866164123714;0.0768431685255533;-0.0195828687194761;-0.0277955463802475;0.024794722569023;0.0395436054324857;-0.00236900053786293;-0.0159878573022316;1.56177372807004;0.0417769946251592;0.054457036342143;-0.0125003526135908;0.156491354206967;-0.102521437743725;-0.154884899121732;-0.0357282277162382;-0.0540864123790044;0.0746577423140229;1.69067258248908;-0.0818673269828437;0.099191546562912;-0.0448960423456422;-0.00335877015621129;0.105364663356638;-0.0605105786769519;-0.063216634985924;0.0565232412659904;-0.153965033298441;1.61646128287122;0.0744400532690491;-0.0367316967730474;-0.271582096445935;0.0351625789652058;0.00912038380334972;0.224253937114717;-0.108087736558015;0.115048397928085;-0.0789457620094463;-0.160203133131258;0.0523755273942507;0.0751334094217413;0.0828238552249074;-0.0129646544714863;-0.189290783720073;0.161954523040747;-0.0460059260546902;0.0188874526729679;-0.168411574584372;0.0860478953311297;0.0305549468143357;-0.059929444149475;0.055998050122043;0.0618468160714075;-0.0590982121532342;0.0103937112274935;-0.00325218726298286;-0.181000721192711;0.042665672944354;0.0321009922721465;-0.0735157853592043;-0.012117237095802;-0.0570190921314455;-0.0175814758655625;0.122059541894246;0.0504345812872519;-0.111298115077662;0.092041542575672;-0.107436826827636;-0.0888129874931543;-0.0181877591576184;0.078419690942081;0.0262385376136553;0.00924812762221756;-0.0875263710280997;0.107848343725467;-0.0253775809977282;-0.116292505516389;0.0201288215317903;1.40783228823982;-0.0817085521324633;-0.0149232311689053;-0.0582595933930641;-0.0781355706498005;0.0130924911197358;0.037648364031097;0.0296693046521825;0.177006189962849;-0.0973539637272577" "0.105964549875144;0.0854459742337862;0.0878854903403934;0.0895340326306186;0.0881911878309604;0.0886819614294945;0.0880370274353635;0.0907186645888437;0.0858623523030866;0.0838409859589888;0.108560659974413;0.0865387482755139;0.0894446204184213;0.0909126127037799;0.0865049216460871;0.0896472398720584;0.0850478014102964;0.0864179525498964;0.0860015721008226;0.0848945017494444;0.108532353924192;0.0846513274224103;0.0861144802468214;0.0857949852278732;0.0848738969519404;0.0879206385594037;0.088191284679133;0.0881280439752048;0.0872967202646011;0.08417475489767;0.112083106971297;0.083682562557734;0.0857793318595364;0.0850211207620606;0.0901519175724561;0.0856131301364328;0.0862771996034283;0.0863992797683582;0.0896621014472575;0.0819221670521757;0.110381834239308;0.0873563795893405;0.0871973376030237;0.0890159794863147;0.0890334390051495;0.0867882751232709;0.0907234782774021;0.0849547126821616;0.0851201512251753;0.0834210718741463;0.0859421788038323;0.0836036386099486;0.0860330101846963;0.0895495421427299;0.0862657862423207;0.0917581777872387;0.0897490343946172;0.0869922896926211;0.0858924587175772;0.0839111118341661;0.0840308334109257;0.0839116418256888;0.0892827252327672;0.0863578938093562;0.0885169248887539;0.0877688975199082;0.0858217153768903;0.0849017694984936;0.0900426176765169;0.0841490091922562;0.0846505936393145;0.0852385255368223;0.0871982675978599;0.0842851120850405;0.0881404156577842;0.0878329091800675;0.0827935409308774;0.0893384906218509;0.08672897445669;0.0841537576666093;0.0861015352324094;0.0869607762363276;0.0901726489243801;0.0846597736090604;0.0877165374011065;0.0873610650305321;0.08796561460025;0.0863449000691016;0.0867478954342418;0.086069925994612;0.0972137906698617;0.076578713026612;0.0804520270712076;0.0750940014828378;0.0814377352457302;0.0743082639779636;0.0772186597788479;0.0815495350878848;0.0769544728070771;0.0826899143142097" 6
"2" "BEST" 6 6 1 1 1 1 0.8675 0.861648016276704 0.873156342182891 0.734909856082754 0.8635 0.860279441117764 0.866733466933868 0.727020541837934 "X1;X11;X21;X31;X41;X91" "1.43866746745968;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.37436483132251;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.44809412641986;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.56902734075377;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.48387575146448;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.30631866082731;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.0907397941751018;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0910891019929182;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0931792476939553;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0970533966394092;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0934037058062926;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0870246047432896;NA;NA;NA;NA;NA;NA;NA;NA;NA" 6
"3" "CFS" 6 6 1 1 1 1 0.8675 0.861648016276704 0.873156342182891 0.734909856082754 0.8635 0.860279441117764 0.866733466933868 0.727020541837934 "X1;X11;X21;X31;X41;X91" "1.43866746745968;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.37436483132251;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.44809412641986;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.56902734075377;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.48387575146448;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.30631866082731;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.0907397941751018;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0910891019929182;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0931792476939553;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0970533966394092;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0934037058062926;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0870246047432896;NA;NA;NA;NA;NA;NA;NA;NA;NA" 6
"4" "CHI2" 6 6 1 1 1 1 0.8675 0.861648016276704 0.873156342182891 0.734909856082754 0.8635 0.860279441117764 0.866733466933868 0.727020541837934 "X31;X41;X1;X21;X91;X11" "1.43866746745968;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.37436483132251;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.44809412641986;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.56902734075377;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.48387575146449;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.30631866082731;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.0907397941751015;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0910891019929182;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0931792476939552;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0970533966394089;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0934037058062926;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0870246047432896;NA;NA;NA;NA;NA;NA;NA;NA;NA" 6
"5" "CONS" 8 6 0.98 0.978723404255319 1 0.8567628336894 0.866 0.860630722278739 0.871189773844641 0.731908355789414 0.864 0.862275449101796 0.865731462925852 0.728006912027648 "X1;X11;X21;X31;X33;X41;X42;X91" "1.4361548877815;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.37614520511906;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.45031588367094;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.56174131380893;NA;0.0353499351222044;NA;NA;NA;NA;NA;NA;NA;1.45701101893211;0.0904150611789941;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.30766596251252;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.0907935155127532;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0913469123197061;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0932499738088461;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0989160384520329;NA;0.0740398542372872;NA;NA;NA;NA;NA;NA;NA;0.0958746656095869;0.0764685960093134;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.087086844646709;NA;NA;NA;NA;NA;NA;NA;NA;NA" 6
"6" "IG" 6 6 1 1 1 1 0.8675 0.861648016276704 0.873156342182891 0.734909856082754 0.8635 0.860279441117764 0.866733466933868 0.727020541837934 "X31;X41;X1;X21;X91;X11" "1.43866746745968;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.37436483132251;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.44809412641986;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.56902734075377;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.48387575146449;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.30631866082731;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.0907397941751015;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0910891019929182;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0931792476939552;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0970533966394089;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0934037058062926;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0870246047432896;NA;NA;NA;NA;NA;NA;NA;NA;NA" 6
"7" "IGR" 6 6 1 1 1 1 0.8675 0.861648016276704 0.873156342182891 0.734909856082754 0.8635 0.860279441117764 0.866733466933868 0.727020541837934 "X31;X1;X21;X11;X41;X91" "1.43866746745968;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.37436483132251;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.44809412641986;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.56902734075377;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.48387575146449;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.30631866082732;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.0907397941751016;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.091089101992918;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0931792476939552;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0970533966394089;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0934037058062928;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0870246047432895;NA;NA;NA;NA;NA;NA;NA;NA;NA" 6
"8" "ONER" 6 6 1 1 1 1 0.8675 0.861648016276704 0.873156342182891 0.734909856082754 0.8635 0.860279441117764 0.866733466933868 0.727020541837934 "X31;X21;X41;X1;X91;X11" "1.43866746745968;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.37436483132251;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.44809412641985;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.56902734075377;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.48387575146449;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.30631866082731;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.0907397941751016;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0910891019929182;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0931792476939552;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.097053396639409;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0934037058062929;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0870246047432894;NA;NA;NA;NA;NA;NA;NA;NA;NA" 6
"9" "RELIEF" 3 1 0.93 0.978723404255319 0.166666666666667 0.202408061651001 0.625 0.612410986775178 0.63716814159292 0.249648060668249 0.6125 0.57185628742515 0.653306613226453 0.225904750420514 "X41;X92;X24" "NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.108810442927574;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.670000473320245;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0.0332329614381926;NA;NA;NA;NA;NA;NA;NA;NA" "NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0461729198913114;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0520683708524704;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.046869863044152;NA;NA;NA;NA;NA;NA;NA;NA" 6
"10" "RFI" 6 6 1 1 1 1 0.8675 0.861648016276704 0.873156342182891 0.734909856082754 0.8635 0.860279441117764 0.866733466933868 0.727020541837934 "X31;X21;X1;X41;X91;X11" "1.43866746745968;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.37436483132251;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.44809412641986;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.56902734075377;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.48387575146449;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.30631866082731;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.0907397941751015;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0910891019929182;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0931792476939552;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.097053396639409;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0934037058062929;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0870246047432896;NA;NA;NA;NA;NA;NA;NA;NA;NA" 6
