"Approach" "NbVarSelected" "NbVarInf" "Accuracy_selection" "Specificity_selection" "Sensitivity_selection" "MCC_selection" "Accuracy_training" "Specificity_training" "Sensitivity_training" "MCC_training" "Accuracy_test" "Specificity_test" "Sensitivity_test" "MCC_test" "VarSelected" "coef_estimate" "std_estimate" "Simulation"
"1" "BASELINE" 100 6 0.06 0 1 0 0.8815 0.880161127895267 0.882820258192651 0.762987108793107 0.8465 0.84247258225324 0.850551654964895 0.693033593319004 "X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;X11;X12;X13;X14;X15;X16;X17;X18;X19;X20;X21;X22;X23;X24;X25;X26;X27;X28;X29;X30;X31;X32;X33;X34;X35;X36;X37;X38;X39;X40;X41;X42;X43;X44;X45;X46;X47;X48;X49;X50;X51;X52;X53;X54;X55;X56;X57;X58;X59;X60;X61;X62;X63;X64;X65;X66;X67;X68;X69;X70;X71;X72;X73;X74;X75;X76;X77;X78;X79;X80;X81;X82;X83;X84;X85;X86;X87;X88;X89;X90;X91;X92;X93;X94;X95;X96;X97;X98;X99;X100" "1.45929549128315;0.570485112870966;-0.764140595196076;0.338354498283568;0.0722203802104897;-0.0119435436471923;-0.33465406414365;0.288058279628724;0.233616171652615;-0.185119924147085;1.64006980306471;-0.258576518918449;0.23595132952311;0.270215101769503;-0.307541553382815;0.174298904682846;-0.303560238683861;0.248533157640952;0.050797305655268;-0.0812095472597727;1.56094584570972;0.382084156976939;-0.0247862435882695;-0.496922648726444;0.332881908717448;0.549203436182863;-0.256834173134935;-0.675932939851497;0.227803383738507;0.055348994889322;1.9700136859054;0.0428502293346237;-0.329774860358592;-0.113392333419963;0.42504548721482;-0.0445081207364273;-0.3167075490905;0.201616470767315;-0.227766298191691;0.0563109302596169;1.74904545717516;-0.161382347550999;0.179054055702996;-0.171925229694783;0.201334840134265;0.18499080972367;-0.20419792491473;0.00777681278347016;0.117347560891738;-0.0486024018891318;0.0568789922688865;-0.167877488047132;-0.0291174194350383;0.375582696011081;0.0804246089817845;-0.158184963731663;0.218945851075166;-0.151883485432745;-0.0145851137611004;-0.0427418083422774;0.330464250613151;-0.186696359302719;-0.160419138673007;-0.0280505545470257;-0.000374384030839369;0.340757709973931;-0.279848389612166;-0.124459610324573;0.189152112382684;0.0226867031498095;0.144215576198092;-0.391907199492805;0.183482011339573;0.335843228720072;-0.249492873403044;0.00132910157296011;-0.00718955656343457;-0.220565481714634;0.872613873414213;-0.659388441666536;-0.00183089733191569;0.162121237862323;-0.068506753921899;-0.0564035664600067;0.30413954936159;-0.626112385145363;0.195433502397442;0.0204339676193024;0.0765048414128196;-0.0093076918327549;1.53765598732267;0.128364003424599;-0.0215257490637084;0.00497477294047532;-0.0493890083626792;0.0721013659239756;0.0261048943159704;-0.125047886928794;-0.096998930043484;-0.0228725600708996" "0.193037144912241;0.2539923468804;0.250315046030686;0.24656407977976;0.245478617229219;0.256364913727447;0.250634353330832;0.253623231073327;0.253310592340159;0.185315755673969;0.191370447159681;0.241899067710383;0.253780338970676;0.254128465392524;0.24923587383618;0.245171174029464;0.249490903448195;0.258107835452648;0.242208582619659;0.179320205408489;0.190751069805466;0.245548581255686;0.257938973026332;0.252028692306642;0.251414364627763;0.254572742766534;0.253259826855802;0.259411291328138;0.254747447204216;0.176879438268258;0.200138822372494;0.254653001203966;0.248770604620105;0.245860618082051;0.246042869737898;0.253970800139838;0.251583044258879;0.24673183104947;0.256914943627141;0.180643445654377;0.202117630628185;0.25692900916164;0.249094424183206;0.242232916444099;0.248688000883564;0.249097053799726;0.252910507389392;0.250439626992359;0.247716917931211;0.177839982385027;0.185350756803532;0.252375934524926;0.239969955516476;0.25181529687179;0.247399212771334;0.246138982117092;0.255191700632745;0.252637791335174;0.245424434575489;0.177740386876746;0.185667417763067;0.25274964495292;0.241787524759554;0.244644525168751;0.246268693648548;0.249376254739958;0.256264710684762;0.253562383948059;0.244310274216667;0.179216188597527;0.181202186655961;0.254183833684779;0.257542335362624;0.248979145799637;0.247855819873635;0.240512629349407;0.236241316368532;0.249969388645021;0.252449884311776;0.182085055878402;0.179652327251755;0.245343238397107;0.243380538792277;0.252096563052139;0.249250192016339;0.244721393353137;0.236455620002645;0.248827534597221;0.248847477873311;0.179888092056568;0.105251000822841;0.0803025587980125;0.0769571556774791;0.077842700906982;0.076847229657609;0.0799809721637715;0.0752652887500062;0.0774827495887418;0.0764965892663883;0.0784775148668224" 4
"2" "BEST" 6 6 1 1 1 1 0.87 0.867069486404834 0.872889771598808 0.73998589928099 0.8605 0.852442671984048 0.868605817452357 0.721115917533958 "X1;X11;X21;X31;X41;X91" "1.4506594706351;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.47046437504469;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.53188111843955;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.56263861486658;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.56439357870212;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.34089406081892;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.0951928443710048;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0930807442252243;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0978623256355622;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0955126485686327;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0966677735107964;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.090939082276052;NA;NA;NA;NA;NA;NA;NA;NA;NA" 4
"3" "CFS" 12 6 0.94 0.936170212765957 1 0.684167454928235 0.869 0.867069486404834 0.87090367428004 0.737984969117461 0.859 0.851445663010967 0.866599799398195 0.718102913457432 "X1;X3;X11;X13;X21;X22;X31;X32;X41;X42;X45;X91" "1.57621000066864;NA;-0.136419270229248;NA;NA;NA;NA;NA;NA;NA;1.41749121074056;NA;0.0955645770464528;NA;NA;NA;NA;NA;NA;NA;1.38070298268458;0.19534336046544;NA;NA;NA;NA;NA;NA;NA;NA;1.79228456558276;-0.245726720317729;NA;NA;NA;NA;NA;NA;NA;NA;1.49268512042476;-0.0508606989592638;NA;NA;0.201109093942332;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.34639834549173;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.138924977565051;NA;0.120802749032797;NA;NA;NA;NA;NA;NA;NA;0.132199758489904;NA;0.120713778970048;NA;NA;NA;NA;NA;NA;NA;0.173722770832891;0.162241380711591;NA;NA;NA;NA;NA;NA;NA;NA;0.178778962265099;0.163108462611487;NA;NA;NA;NA;NA;NA;NA;NA;0.179401476764806;0.190935629986419;NA;NA;0.105974023131081;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0912737071013961;NA;NA;NA;NA;NA;NA;NA;NA;NA" 4
"4" "CHI2" 44 6 0.62 0.595744680851064 1 0.285022650021266 0.8715 0.872104733131923 0.87090367428004 0.742996147475937 0.8585 0.851445663010967 0.865596790371113 0.717090859084468 "X31;X41;X1;X42;X21;X11;X32;X2;X43;X91;X12;X3;X22;X33;X44;X14;X13;X45;X34;X46;X5;X35;X4;X36;X23;X15;X47;X24;X48;X6;X25;X16;X17;X49;X37;X18;X19;X7;X8;X38;X26;X50;X10;X39" "1.35091173805487;0.530722566587743;-0.618358814456176;0.231412227661104;0.0685302999079852;-0.0548262708493637;-0.333989538730269;0.408958300744634;NA;-0.0666582881718219;1.51843540640907;-0.132986188630096;0.106213700584367;0.193981536610523;-0.177375057260481;0.0872909662018888;-0.21009231886624;0.184008070717519;-0.0523850608609032;NA;1.41490775938685;0.303120290903484;0.0260127884006106;-0.348595107420052;0.275008744816792;-0.0708316804323398;NA;NA;NA;NA;1.76426378665701;0.0534111455236403;-0.25817879745503;-0.0976136833184949;0.279700061309576;-0.0238184806894185;-0.293240685063704;0.198623046741352;-0.123600796867374;NA;1.55138568732124;-0.165611437127976;0.180617191812329;-0.126891625152494;0.193624005567013;0.193497982965148;-0.219309849351237;-0.0561226977731773;0.140384929633005;0.0160394010475092;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.38194815352069;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.180512485740836;0.236662122437029;0.234938239491577;0.230603371018852;0.229715869763051;0.239724636086071;0.232776880423822;0.201271218895961;NA;0.12617636942083;0.175402775318887;0.225801856413473;0.238102139104015;0.238023340199179;0.231882680569766;0.227553637014567;0.234386816215888;0.239682602775391;0.165303244075913;NA;0.178581779951775;0.230779376691465;0.241998874874659;0.23441599737554;0.234892436332233;0.16954958916946;NA;NA;NA;NA;0.184016223766279;0.241398296677303;0.235012648044725;0.231078937535037;0.228673567461067;0.239099182049239;0.234533759688172;0.233502551131328;0.172346522307304;NA;0.184907678766132;0.241421212439487;0.23438472297871;0.22595070062432;0.232039193851464;0.235399583035482;0.241249585423481;0.237194547796052;0.232586434554227;0.168655735138623;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0931859924216952;NA;NA;NA;NA;NA;NA;NA;NA;NA" 4
"5" "CONS" 16 6 0.9 0.893617021276596 1 0.57888373874097 0.868 0.866062437059416 0.869910625620655 0.735984839108754 0.8575 0.847457627118644 0.867602808425276 0.715173085190543 "X1;X2;X10;X11;X12;X14;X18;X21;X25;X31;X33;X38;X41;X43;X45;X91" "1.32254524531729;0.159575028665624;NA;NA;NA;NA;NA;NA;NA;0.0190962276564852;1.4803665718282;-0.069387702124209;NA;0.116236955442723;NA;NA;NA;-0.0255457189798081;NA;NA;1.53717898963432;NA;NA;NA;0.034677625756083;NA;NA;NA;NA;NA;1.80778007101201;NA;-0.241788481749233;NA;NA;NA;NA;-0.0821489879730235;NA;NA;1.42308543592227;NA;0.048148399476167;NA;0.178686507762239;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.35158314552467;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.177666272791137;0.171925589305801;NA;NA;NA;NA;NA;NA;NA;0.0815542219337388;0.171178722260459;0.187516070475803;NA;0.134265620568807;NA;NA;NA;0.0945403656574961;NA;NA;0.113065939576968;NA;NA;NA;0.0910299286924055;NA;NA;NA;NA;NA;0.14167819515669;NA;0.128643999710461;NA;NA;NA;NA;0.0868529530610713;NA;NA;0.133045395348089;NA;0.156988094457505;NA;0.121679696123259;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0916935278899764;NA;NA;NA;NA;NA;NA;NA;NA;NA" 4
"6" "IG" 2 2 0.96 1 0.333333333333333 0.56544486128752 0.6945 0.688821752265861 0.700099304865938 0.388949647382535 0.6725 0.654037886340977 0.691073219658977 0.345333401591172 "X31;X41" "NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.822596325142575;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.802817349929295;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.05656147364988;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0569493283651254;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" 4
"7" "IGR" 44 6 0.62 0.595744680851064 1 0.285022650021266 0.8715 0.872104733131923 0.87090367428004 0.742996147475937 0.8585 0.851445663010967 0.865596790371113 0.717090859084468 "X41;X31;X32;X42;X39;X22;X11;X33;X3;X21;X34;X91;X1;X13;X43;X44;X2;X45;X35;X12;X46;X4;X15;X37;X23;X49;X14;X24;X47;X5;X36;X6;X48;X16;X50;X25;X17;X26;X19;X7;X18;X8;X38;X10" "1.35091173805487;0.530722566587743;-0.618358814456175;0.231412227661102;0.0685302999079859;-0.0548262708493638;-0.333989538730272;0.408958300744636;NA;-0.0666582881718223;1.51843540640907;-0.132986188630097;0.106213700584367;0.193981536610522;-0.17737505726048;0.0872909662018886;-0.21009231886624;0.184008070717521;-0.0523850608609054;NA;1.41490775938686;0.303120290903481;0.0260127884006098;-0.34859510742005;0.275008744816791;-0.0708316804323394;NA;NA;NA;NA;1.76426378665701;0.0534111455236412;-0.25817879745503;-0.0976136833184947;0.279700061309575;-0.0238184806894184;-0.293240685063702;0.198623046741352;-0.123600796867374;NA;1.55138568732125;-0.165611437127976;0.18061719181233;-0.126891625152494;0.193624005567012;0.193497982965149;-0.219309849351239;-0.0561226977731756;0.140384929633005;0.0160394010475091;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.38194815352069;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.180512485740836;0.236662122437029;0.234938239491577;0.230603371018851;0.229715869763051;0.23972463608607;0.232776880423822;0.201271218895962;NA;0.126176369420831;0.175402775318887;0.225801856413473;0.238102139104015;0.238023340199179;0.231882680569766;0.227553637014567;0.234386816215889;0.239682602775391;0.165303244075913;NA;0.178581779951775;0.230779376691465;0.241998874874659;0.23441599737554;0.234892436332233;0.169549589169461;NA;NA;NA;NA;0.18401622376628;0.241398296677303;0.235012648044725;0.231078937535037;0.228673567461068;0.23909918204924;0.234533759688172;0.233502551131329;0.172346522307304;NA;0.184907678766131;0.241421212439486;0.23438472297871;0.22595070062432;0.232039193851464;0.235399583035482;0.241249585423481;0.237194547796052;0.232586434554227;0.168655735138623;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0931859924216952;NA;NA;NA;NA;NA;NA;NA;NA;NA" 4
"8" "ONER" 43 6 0.63 0.606382978723404 1 0.290880694489204 0.874 0.874118831822759 0.873882820258193 0.747992675782861 0.8575 0.851445663010967 0.863590772316951 0.7150689719992 "X31;X32;X1;X43;X2;X21;X91;X11;X22;X12;X44;X41;X42;X45;X33;X3;X13;X46;X34;X4;X23;X47;X14;X35;X48;X15;X25;X17;X6;X36;X16;X24;X18;X8;X38;X5;X7;X19;X10;X26;X49;X50;X37" "1.35244198482042;0.52750528032817;-0.615900593674757;0.23294281767565;0.0648446686978485;-0.0547378947826232;-0.336823506030038;0.412448820411671;NA;-0.0697785531643539;1.51580938248171;-0.132617444925085;0.110538961041195;0.189383926342222;-0.176668212485642;0.0849767371918969;-0.206199674205668;0.176375330832412;-0.0464640836935723;NA;1.41842344829652;0.299299127716808;0.0225955509567476;-0.351529658503227;0.280983072428188;-0.0719896119906182;NA;NA;NA;NA;1.75933949530968;0.060533424324589;-0.26103247577983;-0.0979670903665572;0.285731865298784;-0.0331175629174451;-0.285068194220079;0.0832490987568555;NA;NA;1.54883470024774;-0.164837533357979;0.180919266245823;-0.124295260040547;0.190181968503275;0.193586919445619;-0.223072784771523;-0.0412821020563525;0.124406526403698;0.023432073496561;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.38096828444202;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.180380475581827;0.236623046439444;0.234974922155457;0.230636760039534;0.229710262430499;0.23982097703893;0.232631275511292;0.201212228074464;NA;0.126015705537397;0.175312906899085;0.22577241437019;0.238056584132751;0.237934780416443;0.231967672785955;0.227543554120647;0.234222036974134;0.239335556108297;0.164979211762463;NA;0.178693025714093;0.230850286784104;0.24178516375038;0.234282283833813;0.234679498414967;0.169603425929871;NA;NA;NA;NA;0.1838499545693;0.241136909415549;0.234664169863116;0.231159188114853;0.228731874246368;0.238845390680949;0.234166250646087;0.169119962129082;NA;NA;0.184746820042818;0.241493415864888;0.234487126658071;0.2258618443631;0.231867323283487;0.235419490066161;0.241193000675464;0.236198756823836;0.231328434162219;0.168291056352033;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0931232431394035;NA;NA;NA;NA;NA;NA;NA;NA;NA" 4
"9" "RELIEF" 98 5 0.06 0.0106382978723404 0.833333333333333 -0.264676318049477 0.861 0.851963746223565 0.869910625620655 0.722047692584142 0.836 0.821535393818544 0.850551654964895 0.672329133033101 "X21;X62;X29;X61;X68;X64;X67;X39;X63;X51;X22;X17;X92;X46;X69;X30;X47;X28;X48;X15;X26;X65;X9;X43;X2;X23;X38;X45;X66;X99;X40;X41;X81;X52;X70;X44;X79;X94;X24;X4;X53;X91;X31;X1;X16;X75;X3;X27;X42;X98;X37;X20;X32;X100;X80;X74;X14;X59;X25;X97;X96;X33;X85;X6;X7;X56;X8;X57;X55;X50;X86;X71;X19;X49;X34;X73;X54;X89;X88;X10;X78;X72;X36;X60;X5;X87;X18;X93;X84;X95;X90;X35;X13;X77;X76;X58;X83;X82" "1.32488334408893;0.434032988267982;-0.634607266427806;0.303821122259611;0.0129824317579073;0.0419982150313567;-0.274785852570264;0.159751076613406;0.224492942223877;-0.101245501344884;NA;NA;1.26147172037787;0.0741002168466194;-0.255725500071707;0.280017501515299;-0.369454794476383;0.333246104434574;0.0159139570174638;-0.101990943040582;1.45597787649632;0.314853594776736;-0.00719276900566272;-0.556471127399313;0.399438360490023;0.447834012407156;-0.409377729998786;-0.328874574535053;0.0273883364629624;0.113503314731027;1.80877142243344;-0.0236710804931328;-0.22240990159915;-0.159749066994736;0.374584527061869;-0.102792130858285;-0.228498052795813;0.133305231755087;-0.0657433495691968;-0.0403120615574772;1.60885167148433;-0.173415649898796;0.0871259123525079;-0.0649089096642574;0.140756147827717;0.176493322817083;-0.204352241712451;0.138113158793451;-0.0231465313141424;-0.0449236396517336;0.0820503799865911;-0.251250520522644;0.00523760205734309;0.325010726503712;0.0839258496604422;-0.138782717458919;0.19258357169215;-0.24373768039269;0.18023706491914;-0.0894172048068652;0.386145511115528;-0.259055732342073;-0.225301989153701;0.115842033994602;-0.0300076990875109;0.194531229656207;-0.125017736998944;-0.139001993833491;0.0952925187288502;0.106380505074769;0.137990594808957;-0.296041963282803;5.04054550413302e-06;0.47457596823818;-0.332702453645777;0.0359141112346649;0.0406918116504853;-0.339571485559587;0.942708335002226;-0.631269481532677;-0.0882658920396195;0.196306394030739;-0.108752383086233;-0.0471257758700765;0.351085040964918;-0.55361021098208;0.218353355707905;0.0166730327894354;-0.0235105560288753;0.0338591674845783;1.40369727660666;0.169366990848677;-0.036689749698907;-0.00548471433515575;-0.0333433769278595;0.0629247476299432;0.0457751658795844;-0.174726826087908;-0.149822016060597;-0.00516167187926776" "0.181091056640577;0.238098689751799;0.233996333323924;0.232082730522565;0.231475195848612;0.23939262289403;0.236744623266335;0.236522021226333;0.238889901613981;0.175638166518794;NA;NA;0.181271760489011;0.238882516943376;0.232206839989688;0.231863576828364;0.234748901817268;0.241048581674672;0.227372962095978;0.169310339179521;0.177252939644917;0.229509738570833;0.238172766217575;0.233000549112935;0.236199880970165;0.239218893602886;0.239010987091953;0.241704189120483;0.24020224802061;0.167493957909005;0.183462190052668;0.236974602916252;0.236313276383365;0.234978391690564;0.234295621134861;0.236784197275925;0.236181630024713;0.232591358402232;0.244746686375778;0.169466741818666;0.187816740168366;0.241273169276345;0.236122177038291;0.227651422492271;0.231931492791846;0.234414877323576;0.238559817539966;0.234507326850771;0.231372868578406;0.166452250767615;0.172466959386088;0.235539692730424;0.225969034268721;0.234539603327271;0.23288924342159;0.229102960512562;0.240558277437239;0.235782633928893;0.22998596313351;0.167013761801802;0.173150612462109;0.234766808556939;0.227005752579086;0.231047071986361;0.231433502392855;0.23447427515907;0.240815043148526;0.240825028945974;0.232045657679677;0.168569026165253;0.169647012981933;0.234835592735079;0.237176950704565;0.232238406969393;0.231984422824895;0.228239457270014;0.224088412128098;0.23140945300576;0.232453985906179;0.169039374026862;0.168085945661094;0.228875899035222;0.229355897116617;0.239159123724448;0.228140963048373;0.22937625260066;0.22344422611259;0.233253668353447;0.232335894628552;0.168421921704368;0.0953928552613252;0.0758101916080871;0.0725939144863486;0.0722372111759452;0.0727773352219976;0.0755523923376609;0.0708032723961994;0.0720980651935844;0.0710528640395805;0.0737832599181398" 4
"10" "RFI" 1 1 0.95 1 0.166666666666667 0.39780542762657 0.63 0.624370594159114 0.635551142005958 0.259937333637305 0.617 0.620139581256231 0.613841524573721 0.233985785634582 "X31" "NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.724014252359115;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0519350781715148;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" 4
