"Approach" "NbVarSelected" "NbVarInf" "Accuracy_selection" "Specificity_selection" "Sensitivity_selection" "MCC_selection" "Accuracy_training" "Specificity_training" "Sensitivity_training" "MCC_training" "Accuracy_test" "Specificity_test" "Sensitivity_test" "MCC_test" "VarSelected" "coef_estimate" "std_estimate" "Separation" "Repartition" "NbVar"
"1" "BASELINE" 50 3 0.06 0 1 0 1 1 1 1 0.83 0.925 0.766666666666667 0.677827741277535 "x1;x2;x3;Noise1;Noise2;Noise3;Noise4;Noise5;Noise6;Noise7;Noise8;Noise9;Noise10;Noise11;Noise12;Noise13;Noise14;Noise15;Noise16;Noise17;Noise18;Noise19;Noise20;Noise21;Noise22;Noise23;Noise24;Noise25;Noise26;Noise27;Noise28;Noise29;Noise30;Noise31;Noise32;Noise33;Noise34;Noise35;Noise36;Noise37;Noise38;Noise39;Noise40;Noise41;Noise42;Noise43;Noise44;Noise45;Noise46;Noise47" "44.155967649109;-54.6899465279764;-3.18063135834289;-4.53236687352234;4.26359779167246;4.96822052588421;5.31027514414007;10.5018357323058;-2.6216764291885;-5.3084492635746;4.30245909486445;1.33633581401841;2.47792396219454;8.01141705356526;-6.75055179363317;-0.607814860427729;4.075505320824;-3.11024305765609;-3.41128928777851;-0.12256781851541;2.82628347477543;-8.83398297439577;2.01403364246281;3.57561851065539;-15.2746819620974;-0.00541498667948405;2.66926209405229;11.0433301705505;2.27607304239988;-1.55934384779236;2.39017024480193;10.0423310479992;2.08802174413653;-8.09194986430082;-5.39023225853569;-1.23761014332118;-6.19496651981859;-8.49125362052038;-8.04510487010288;-4.13706248088551;-9.13099747342613;4.41749818800489;-2.73027169663207;-1.50098986629271;2.20579484110033;-17.9106607130964;-1.28832043264373;-5.56331414025332;-6.90813488505957;7.27375968850564" "91048.4278487756;120748.449113152;122458.056524207;106502.530676451;122534.749566434;175562.909028747;91310.328157441;77997.3921334987;71937.7436674612;145081.915584912;88366.5072300748;103134.127407344;189226.500047056;94735.4402318597;87316.5192764304;127797.013590311;142955.261691425;49303.0616630456;56286.8580392175;136642.208653609;133204.738440918;100219.560633946;169692.86057672;107001.428195974;70627.3198383003;104924.971034834;112937.792702849;148940.104310606;91858.5642766427;92810.0861494305;81755.0509795351;104578.777366147;117521.679824305;100633.685326399;135776.358638646;113694.017052043;53763.2319639826;133913.934765769;135174.015137722;68196.662160453;89614.5777750422;198887.786619719;205522.806281374;105932.460848862;152436.359144696;301022.468365175;119926.428078604;142615.442479393;96947.5935152695;95088.9460971092" "forte" "equilibre" 50
"2" "BEST" 3 3 1 1 1 1 0.92 0.934782608695652 0.907407407407407 0.840163081717621 0.93 0.925 0.933333333333333 0.854955804786627 "x1;x2;x3" "6.01532904568763;-6.44617195780629;-0.938523072055542;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "1.71956297514756;1.6715341233438;0.543325091280894;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "forte" "equilibre" 50
"3" "CFS" 3 2 0.96 0.978723404255319 0.666666666666667 0.645390070921986 0.93 0.91304347826087 0.944444444444444 0.85904557689141 0.92 0.9 0.933333333333333 0.833333333333333 "x1;x2;Noise31" "5.27541629139978;-5.63426670478707;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0.351205431856677;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "1.43867785249828;1.40212273645767;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.482648818189878;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "forte" "equilibre" 50
"4" "CHI2" 3 2 0.96 0.978723404255319 0.666666666666667 0.645390070921986 0.93 0.91304347826087 0.944444444444444 0.85904557689141 0.92 0.9 0.933333333333333 0.833333333333333 "x2;x1;Noise31" "5.27541629139978;-5.63426670478707;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0.351205431856677;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "1.43867785249828;1.40212273645767;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.482648818189878;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "forte" "equilibre" 50
"5" "CONS" 2 1 0.94 0.978723404255319 0.333333333333333 0.378187790294891 0.78 0.739130434782609 0.814814814814815 0.556188860439045 0.7 0.65 0.733333333333333 0.38049027802219 "x2;Noise31" "NA;-2.10560188548031;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0.326412527160602;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "NA;0.436451365829645;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.318257777142716;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "forte" "equilibre" 50
"6" "IG" 1 1 0.96 1 0.333333333333333 0.56544486128752 0.76 0.717391304347826 0.796296296296296 0.515768158372254 0.68 0.7 0.666666666666667 0.359546247753337 "x2" "NA;-2.12933168728154;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "NA;0.434778953157412;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "forte" "equilibre" 50
"7" "IGR" 3 2 0.96 0.978723404255319 0.666666666666667 0.645390070921986 0.93 0.91304347826087 0.944444444444444 0.85904557689141 0.92 0.9 0.933333333333333 0.833333333333333 "x2;Noise31;x1" "5.27541629139978;-5.63426670478707;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0.351205431856677;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "1.43867785249828;1.40212273645767;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.482648818189878;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "forte" "equilibre" 50
"8" "ONER" 2 2 0.98 1 0.666666666666667 0.807946642902722 0.91 0.891304347826087 0.925925925925926 0.818714798633597 0.91 0.9 0.916666666666667 0.813453095816402 "x2;x1" "5.14357693854378;-5.51993882141433;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "1.37899640566037;1.33906289131501;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "forte" "equilibre" 50
"9" "RELIEF" 1 1 0.96 1 0.333333333333333 0.56544486128752 0.76 0.717391304347826 0.796296296296296 0.515768158372254 0.68 0.7 0.666666666666667 0.359546247753337 "x2" "NA;-2.12933168728154;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "NA;0.434778953157412;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "forte" "equilibre" 50
"10" "RFI" 2 2 0.98 1 0.666666666666667 0.807946642902722 0.91 0.891304347826087 0.925925925925926 0.818714798633597 0.91 0.9 0.916666666666667 0.813453095816402 "x2;x1" "5.14357693854378;-5.51993882141433;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "1.37899640566037;1.33906289131501;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "forte" "equilibre" 50
