"Repetition" "Repartition" "Separation" "NbVar" "Time"
"120" 20 "equilibre" "forte" 50 290.737490177155
"121" 21 "equilibre" "forte" 50 305.594290018082
"122" 22 "equilibre" "forte" 50 319.360373020172
"123" 23 "equilibre" "forte" 50 334.790502071381
"124" 24 "equilibre" "forte" 50 350.973675966263
"125" 25 "equilibre" "forte" 50 365.264940023422
"126" 26 "equilibre" "forte" 50 381.081660985947
"127" 27 "equilibre" "forte" 50 397.38880610466
"128" 28 "equilibre" "forte" 50 411.775218963623
"129" 29 "equilibre" "forte" 50 426.689408063889
"130" 30 "equilibre" "forte" 50 442.102034091949
"131" 31 "equilibre" "forte" 50 456.800717115402
"132" 32 "equilibre" "forte" 50 470.993757963181
"133" 33 "equilibre" "forte" 50 485.378222942352
"134" 34 "equilibre" "forte" 50 501.287909030914
"135" 35 "equilibre" "forte" 50 515.703924179077
"136" 36 "equilibre" "forte" 50 532.380462169647
"137" 37 "equilibre" "forte" 50 548.404606103897
"138" 38 "equilibre" "forte" 50 562.233579158783
"139" 39 "equilibre" "forte" 50 579.326233148575
"140" 40 "equilibre" "forte" 50 594.016180038452
"141" 41 "equilibre" "forte" 50 608.552936077118
"142" 42 "equilibre" "forte" 50 622.771522045135
"143" 43 "equilibre" "forte" 50 637.216103076935
"144" 44 "equilibre" "forte" 50 651.178008079529
"145" 45 "equilibre" "forte" 50 666.832957983017
"146" 46 "equilibre" "forte" 50 681.288932085037
"147" 47 "equilibre" "forte" 50 697.172528028488
"148" 48 "equilibre" "forte" 50 712.140376091003
"149" 49 "equilibre" "forte" 50 726.934944152832
"150" 50 "equilibre" "forte" 50 740.805660963058
"151" 1 "desequilibre" "forte" 50 14.8531959056854
"152" 2 "desequilibre" "forte" 50 31.2160849571228
"153" 3 "desequilibre" "forte" 50 44.6944499015808
"154" 4 "desequilibre" "forte" 50 59.3685419559479
"155" 5 "desequilibre" "forte" 50 73.5514068603516
"156" 6 "desequilibre" "forte" 50 87.0277650356293
"157" 7 "desequilibre" "forte" 50 102.159957885742
"158" 8 "desequilibre" "forte" 50 117.230125904083
"159" 9 "desequilibre" "forte" 50 134.761601924896
"160" 10 "desequilibre" "forte" 50 151.329105854034
"161" 11 "desequilibre" "forte" 50 166.21077299118
"162" 12 "desequilibre" "forte" 50 181.651430845261
"163" 13 "desequilibre" "forte" 50 196.760732889175
"164" 14 "desequilibre" "forte" 50 211.284931898117
"165" 15 "desequilibre" "forte" 50 226.638185024261
"166" 16 "desequilibre" "forte" 50 241.7247838974
"167" 17 "desequilibre" "forte" 50 257.041632890701
"168" 18 "desequilibre" "forte" 50 271.94183588028
"169" 19 "desequilibre" "forte" 50 286.406504869461
"170" 20 "desequilibre" "forte" 50 302.44303393364
"171" 21 "desequilibre" "forte" 50 316.70817899704
"172" 22 "desequilibre" "forte" 50 332.433802843094
"173" 23 "desequilibre" "forte" 50 345.827304840088
"174" 24 "desequilibre" "forte" 50 361.065211057663
"175" 25 "desequilibre" "forte" 50 375.397225856781
"176" 26 "desequilibre" "forte" 50 391.402137041092
"177" 27 "desequilibre" "forte" 50 406.305690050125
"178" 28 "desequilibre" "forte" 50 421.962404966354
"179" 29 "desequilibre" "forte" 50 438.268007040024
"180" 30 "desequilibre" "forte" 50 454.038451910019
"181" 31 "desequilibre" "forte" 50 469.417489051819
"182" 32 "desequilibre" "forte" 50 485.640974998474
"183" 33 "desequilibre" "forte" 50 501.645738840103
"184" 34 "desequilibre" "forte" 50 518.696580886841
"185" 35 "desequilibre" "forte" 50 533.091914892197
"186" 36 "desequilibre" "forte" 50 545.880784034729
"187" 37 "desequilibre" "forte" 50 560.918442964554
"188" 38 "desequilibre" "forte" 50 574.845612049103
"189" 39 "desequilibre" "forte" 50 588.284767866135
"190" 40 "desequilibre" "forte" 50 603.097121953964
"191" 41 "desequilibre" "forte" 50 618.767328023911
"192" 42 "desequilibre" "forte" 50 634.048981904984
"193" 43 "desequilibre" "forte" 50 647.907605886459
"194" 44 "desequilibre" "forte" 50 663.354419946671
"195" 45 "desequilibre" "forte" 50 677.821210861206
"196" 46 "desequilibre" "forte" 50 691.912683010101
"197" 47 "desequilibre" "forte" 50 705.936516046524
"198" 48 "desequilibre" "forte" 50 720.152169942856
"199" 49 "desequilibre" "forte" 50 734.900891065598
"200" 50 "desequilibre" "forte" 50 748.37327504158
