"Approach" "NbVarSelected" "NbVarInf" "Accuracy_selection" "Specificity_selection" "Sensitivity_selection" "MCC_selection" "Accuracy_training" "Specificity_training" "Sensitivity_training" "MCC_training" "Accuracy_test" "Specificity_test" "Sensitivity_test" "MCC_test" "VarSelected" "coef_estimate" "std_estimate"
"11" "SU" 1 1 0.92 1 0.333333333333333 0.552770798392567 0.775 0.773833671399594 0.776134122287968 0.549941391959636 0.756 0.759834368530021 0.752417794970986 0.511981595853185 "x1" "1.97343593785364;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.0900232928902407;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"12" "SVM-RFE" 11 3 0.68 0.636363636363636 1 0.416597790450531 0.876 0.872210953346856 0.879684418145957 0.751943506852162 0.859 0.865424430641822 0.852998065764023 0.718058830223897 "Noise11;Noise13;Noise16;Noise18;Noise2;Noise20;Noise22;Noise5;x1;x2;x3" "3.24834396179977;-2.2051059897352;0.544291314261062;NA;0.0953382389654671;NA;NA;-0.11337358503151;NA;NA;NA;NA;NA;-0.0943044271418966;NA;-0.0646712611795915;NA;NA;-0.145313718612987;NA;0.112294537574851;NA;0.0646041896498427;NA;-0.105020946209881" "0.155667424395681;0.120749614030848;0.0791488143118149;NA;0.0718257576861892;NA;NA;0.0757753727370949;NA;NA;NA;NA;NA;0.073331946168535;NA;0.0733686388971956;NA;NA;0.0730225003797616;NA;0.0725602449460411;NA;0.07362942003933;NA;0.0759924870667653"
"13" "GAMMA_BACK" 3 3 1 1 1 1 0.871 0.867139959432049 0.874753451676529 0.741940906155491 0.858 0.863354037267081 0.852998065764023 0.716008104018252 "x1;x2;x3" "3.20245353322175;-2.16100264265387;0.540978036681319;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.153202830465687;0.118036409484502;0.0780792035808771;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"14" "GAMMA_BF" 3 3 1 1 1 1 0.871 0.867139959432049 0.874753451676529 0.741940906155491 0.858 0.863354037267081 0.852998065764023 0.716008104018252 "x1;x2;x3" "3.20245353322175;-2.16100264265387;0.540978036681319;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.153202830465687;0.118036409484502;0.0780792035808771;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"15" "GAMMA_FORW" 3 3 1 1 1 1 0.871 0.867139959432049 0.874753451676529 0.741940906155491 0.858 0.863354037267081 0.852998065764023 0.716008104018252 "x1;x2;x3" "3.20245353322175;-2.16100264265387;0.540978036681319;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.153202830465687;0.118036409484502;0.0780792035808771;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"16" "GAMMA_HC" 3 3 1 1 1 1 0.871 0.867139959432049 0.874753451676529 0.741940906155491 0.858 0.863354037267081 0.852998065764023 0.716008104018252 "x1;x2;x3" "3.20245353322175;-2.16100264265387;0.540978036681319;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.153202830465687;0.118036409484502;0.0780792035808771;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"17" "BASELINE" 25 3 0.12 0 1 0 0.861 0.860537190082645 0.861434108527132 0.721809465695811 0.854 0.84136546184739 0.866533864541833 0.708171320761255 "x1;x2;x3;Noise1;Noise2;Noise3;Noise4;Noise5;Noise6;Noise7;Noise8;Noise9;Noise10;Noise11;Noise12;Noise13;Noise14;Noise15;Noise16;Noise17;Noise18;Noise19;Noise20;Noise21;Noise22" "3.04287802488434;-2.00422154497923;0.494709227460521;-0.0627807736657836;0.0377741963437311;-0.0696262726609921;0.022771293808384;0.0155437729842554;-0.0361303765704412;0.133933933897359;0.0415184671100864;-0.0444668248440662;-0.0304443647988273;0.038184088195524;-0.0469635759502697;-0.102162847413899;0.0351482051488705;-0.0363661218529977;-0.0843593203471995;-0.0742943206706618;-0.0244531873699203;0.000291390166156781;-0.0557112783949306;0.0561698861358718;0.0652510200944932" "0.146475794437497;0.109131564038203;0.0716312532585761;0.0730714744526267;0.0721147599062471;0.0720706812096386;0.072755351662288;0.0713534011607124;0.0720905260659728;0.0719095858621217;0.0726936364085128;0.0750115552599962;0.0724363606992303;0.071244538291943;0.0718669221564377;0.0728384286356177;0.0710594640670508;0.0718285866124228;0.0708918759850703;0.0722479730079172;0.0738934176430274;0.0723577902826871;0.0710990105616279;0.0728795405788898;0.0725105727371655"
"18" "BEST" 3 3 1 1 1 1 0.8575 0.855371900826446 0.859496124031008 0.714762497110815 0.858 0.843373493975904 0.872509960159363 0.716244538175972 "x1;x2;x3" "2.99186055260056;-1.98108272383787;0.490455883831909;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.143007016842211;0.107534331961068;0.0705399887930996;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"19" "CFS" 2 2 0.96 1 0.666666666666667 0.798549409504691 0.8535 0.848140495867769 0.858527131782946 0.706690619012603 0.854 0.839357429718876 0.868525896414343 0.708240374993996 "x1;x2" "2.86321264619323;-1.91085906960971;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.135393853569463;0.103882198505494;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"20" "CHI2" 2 2 0.96 1 0.666666666666667 0.798549409504691 0.8535 0.848140495867769 0.858527131782946 0.706690619012603 0.854 0.839357429718876 0.868525896414343 0.708240374993996 "x1;x2" "2.86321264619323;-1.91085906960971;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.135393853569463;0.103882198505494;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"21" "CONS" 3 3 1 1 1 1 0.8575 0.855371900826446 0.859496124031008 0.714762497110815 0.858 0.843373493975904 0.872509960159363 0.716244538175972 "x1;x2;x3" "2.99186055260056;-1.98108272383787;0.490455883831909;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.143007016842211;0.107534331961068;0.0705399887930996;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"22" "IG" 1 1 0.92 1 0.333333333333333 0.552770798392567 0.771 0.768595041322314 0.773255813953488 0.541704464926582 0.7635 0.761044176706827 0.76593625498008 0.526989127218373 "x1" "1.86917891178602;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.0854239449777383;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"23" "IGR" 1 1 0.92 1 0.333333333333333 0.552770798392567 0.771 0.768595041322314 0.773255813953488 0.541704464926582 0.7635 0.761044176706827 0.76593625498008 0.526989127218373 "x1" "1.86917891178602;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.0854239449777383;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"24" "ONER" 2 2 0.96 1 0.666666666666667 0.798549409504691 0.8535 0.848140495867769 0.858527131782946 0.706690619012603 0.854 0.839357429718876 0.868525896414343 0.708240374993996 "x1;x2" "2.86321264619323;-1.91085906960971;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.135393853569463;0.103882198505494;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"25" "RELIEF" 1 1 0.92 1 0.333333333333333 0.552770798392567 0.771 0.768595041322314 0.773255813953488 0.541704464926582 0.7635 0.761044176706827 0.76593625498008 0.526989127218373 "x1" "1.86917891178602;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.0854239449777383;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"26" "RFI" 2 2 0.96 1 0.666666666666667 0.798549409504691 0.8535 0.848140495867769 0.858527131782946 0.706690619012603 0.854 0.839357429718876 0.868525896414343 0.708240374993996 "x1;x2" "2.86321264619323;-1.91085906960971;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.135393853569463;0.103882198505494;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"27" "SU" 1 1 0.92 1 0.333333333333333 0.552770798392567 0.771 0.768595041322314 0.773255813953488 0.541704464926582 0.7635 0.761044176706827 0.76593625498008 0.526989127218373 "x1" "1.86917891178602;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.0854239449777383;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"28" "SVM-RFE" 11 3 0.68 0.636363636363636 1 0.416597790450531 0.8605 0.859504132231405 0.861434108527132 0.720794309263721 0.8585 0.846385542168675 0.870517928286853 0.717159187386972 "Noise11;Noise13;Noise15;Noise16;Noise17;Noise7;Noise8;Noise9;x1;x2;x3" "3.03153503347947;-1.99342065451007;0.496298989779546;NA;NA;NA;NA;NA;NA;0.125071141147089;0.0414683742936413;-0.0435590380703768;NA;0.0320129464858911;NA;-0.103475127220985;NA;-0.0368731087131531;-0.0774027062282113;-0.082921361637156;NA;NA;NA;NA;NA" "0.145269143563698;0.108403078295671;0.0711610666154756;NA;NA;NA;NA;NA;NA;0.0710021092448448;0.0720868900080147;0.0745208634764672;NA;0.0706875263425647;NA;0.0721720697388218;NA;0.0712032408976904;0.0703307928069937;0.070962565528038;NA;NA;NA;NA;NA"
"29" "GAMMA_BACK" 3 3 1 1 1 1 0.8575 0.855371900826446 0.859496124031008 0.714762497110815 0.858 0.843373493975904 0.872509960159363 0.716244538175972 "x1;x2;x3" "2.99186055260056;-1.98108272383787;0.490455883831909;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.143007016842211;0.107534331961068;0.0705399887930996;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"30" "GAMMA_BF" 3 3 1 1 1 1 0.8575 0.855371900826446 0.859496124031008 0.714762497110815 0.858 0.843373493975904 0.872509960159363 0.716244538175972 "x1;x2;x3" "2.99186055260056;-1.98108272383787;0.490455883831909;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.143007016842211;0.107534331961068;0.0705399887930996;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"31" "GAMMA_FORW" 3 3 1 1 1 1 0.8575 0.855371900826446 0.859496124031008 0.714762497110815 0.858 0.843373493975904 0.872509960159363 0.716244538175972 "x1;x2;x3" "2.99186055260056;-1.98108272383787;0.490455883831909;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.143007016842211;0.107534331961068;0.0705399887930996;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"32" "GAMMA_HC" 3 3 1 1 1 1 0.8575 0.855371900826446 0.859496124031008 0.714762497110815 0.858 0.843373493975904 0.872509960159363 0.716244538175972 "x1;x2;x3" "2.99186055260056;-1.98108272383787;0.490455883831909;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.143007016842211;0.107534331961068;0.0705399887930996;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"33" "BASELINE" 25 3 0.12 0 1 0 0.8565 0.860160965794769 0.852882703777336 0.713034043330952 0.846 0.851851851851852 0.84015984015984 0.692053216491978 "x1;x2;x3;Noise1;Noise2;Noise3;Noise4;Noise5;Noise6;Noise7;Noise8;Noise9;Noise10;Noise11;Noise12;Noise13;Noise14;Noise15;Noise16;Noise17;Noise18;Noise19;Noise20;Noise21;Noise22" "3.00219353051544;-2.06077624800365;0.428780298990149;-0.115349704609375;-0.0555045061966311;-0.0653523864566298;-0.0102320421414028;0.0267034756999152;0.0687953123570886;0.0662444219224817;0.0649037174401161;0.00699497711412826;-0.0472203192319156;-0.0103947953334868;-0.130391721366898;0.167796258283807;0.0142759823310955;0.0563010142396823;-0.0224305060477203;-0.016237882541373;-0.0630204323548601;0.00790988304538014;-0.0891933787718833;-0.0872790796273452;-0.0637557082794384" "0.143193556116586;0.110386832289657;0.0764523595522274;0.0709644312213057;0.0730814861640569;0.0689911019446178;0.0706346865883408;0.0736946559759734;0.0742675462214051;0.0717929100234231;0.0724829159858972;0.070866835125806;0.0739457832270325;0.0731500867815328;0.0722417971919111;0.0733760498745358;0.0705053250505114;0.0711266662467143;0.0720293331806804;0.0720642740476416;0.0724629273618694;0.070605237556432;0.0698013771362454;0.0744091865216771;0.0702241091091583"
"34" "BEST" 3 3 1 1 1 1 0.8575 0.859154929577465 0.855864811133201 0.715007227743201 0.8475 0.851851851851852 0.843156843156843 0.695030588838971 "x1;x2;x3" "2.95244474491316;-2.02532780532052;0.40504156501464;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.139464050356263;0.108158990457411;0.0746207950110623;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"35" "CFS" 2 2 0.96 1 0.666666666666667 0.798549409504691 0.851 0.85513078470825 0.846918489065606 0.702042253133684 0.8485 0.856856856856857 0.84015984015984 0.697105583734399 "x1;x2" "2.85848688801498;-1.99739172670044;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.134583626654958;0.106980568600131;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"36" "CHI2" 2 2 0.96 1 0.666666666666667 0.798549409504691 0.851 0.85513078470825 0.846918489065606 0.702042253133684 0.8485 0.856856856856857 0.84015984015984 0.697105583734399 "x1;x2" "2.85848688801498;-1.99739172670044;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.134583626654958;0.106980568600131;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"37" "CONS" 2 2 0.96 1 0.666666666666667 0.798549409504691 0.851 0.85513078470825 0.846918489065606 0.702042253133684 0.8485 0.856856856856857 0.84015984015984 0.697105583734399 "x1;x2" "2.85848688801498;-1.99739172670044;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.134583626654958;0.106980568600131;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"38" "IG" 1 1 0.92 1 0.333333333333333 0.552770798392567 0.7695 0.766599597585513 0.772365805168986 0.53897753032196 0.767 0.758758758758759 0.775224775224775 0.534060444302366 "x1" "1.83600570082495;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.0844643983316924;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"39" "IGR" 1 1 0.92 1 0.333333333333333 0.552770798392567 0.7695 0.766599597585513 0.772365805168986 0.53897753032196 0.767 0.758758758758759 0.775224775224775 0.534060444302366 "x1" "1.83600570082495;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.0844643983316924;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"40" "ONER" 2 2 0.96 1 0.666666666666667 0.798549409504691 0.851 0.85513078470825 0.846918489065606 0.702042253133684 0.8485 0.856856856856857 0.84015984015984 0.697105583734399 "x1;x2" "2.85848688801498;-1.99739172670044;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.134583626654958;0.106980568600131;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"41" "RELIEF" 24 3 0.16 0.0454545454545455 1 0.0753778361444409 0.8575 0.862173038229376 0.852882703777336 0.715051809090993 0.8455 0.850850850850851 0.84015984015984 0.691044898614039 "x1;Noise15;x2;x3;Noise6;Noise2;Noise5;Noise18;Noise13;Noise8;Noise3;Noise9;Noise12;Noise10;Noise1;Noise22;Noise20;Noise11;Noise19;Noise21;Noise14;Noise17;Noise7;Noise4" "3.00233953017297;-2.0597152000493;0.428583037292487;-0.115559362361445;-0.0537530980454324;-0.0652379360535325;-0.0100290683300569;0.0264993826091845;0.0689450924824734;0.0667726973687253;0.0650776678357419;0.00510722290245019;-0.047020257316885;-0.010714807174827;-0.131551922219925;0.168433591994253;0.0147295836925765;0.0565935493767972;NA;-0.0147969165179576;-0.062828340114821;0.00655342842487487;-0.0882140972406158;-0.0874775587242869;-0.0638573250640651" "0.143184311755057;0.110310003095875;0.0764526358486111;0.070952551286331;0.0728226393474445;0.0689989365242379;0.0706269802135833;0.073691426302235;0.0742583994307657;0.0717740073316924;0.0724554657537542;0.0706401813577433;0.0739402205674334;0.0731513554950213;0.0721434393834521;0.0733537489180134;0.0705042641768149;0.0711294997839962;NA;0.0719102758269905;0.0724624985640169;0.0704707898124617;0.0697174097728646;0.0743843733417824;0.070241006456011"
"42" "RFI" 2 2 0.96 1 0.666666666666667 0.798549409504691 0.851 0.85513078470825 0.846918489065606 0.702042253133684 0.8485 0.856856856856857 0.84015984015984 0.697105583734399 "x1;x2" "2.85848688801498;-1.99739172670044;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.134583626654958;0.106980568600131;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
