"Approach" "Accuracy_selection" "Specificity_selection" "Sensitivity_selection" "MCC_selection" "Accuracy_training" "Specificity_training" "Sensitivity_training" "MCC_training" "Accuracy_validation" "Specificity_validation" "Sensitivity_validation" "MCC_validation" "NbVarSelected" "NbVarInf" "VarSelected" "AIC" "coef_estimate" "std_estimate"
"11" "SU" 0.92 1 0.333333333333333 0.552770798392567 0.775 0.773833671399594 0.776134122287968 0.549941391959636 0.756 0.759834368530021 0.752417794970986 0.511981595853185 1 1 "x1" 1863.14805718105 "1.97343593785364;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.0900232928902407;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"12" "SVM-RFE" 0.96 1 0.666666666666667 0.798549409504691 0.8725 0.874239350912779 0.870808678500986 0.744993263687368 0.849 0.855072463768116 0.843326885880077 0.698045819203041 2 2 "x1;x2" 1249.65294496551 "3.04764051883833;-2.07161673396219;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.145172855133243;0.113964412060354;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"13" "GAMMA_BACK" 1 1 1 1 0.871 0.867139959432049 0.874753451676529 0.741940906155491 0.858 0.863354037267081 0.852998065764023 0.716008104018252 3 3 "x1;x2;x3" 1200.01922005498 "3.20245353322175;-2.16100264265387;0.540978036681319;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.153202830465687;0.118036409484502;0.0780792035808771;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"14" "GAMMA_BF" 1 1 1 1 0.871 0.867139959432049 0.874753451676529 0.741940906155491 0.858 0.863354037267081 0.852998065764023 0.716008104018252 3 3 "x1;x2;x3" 1200.01922005498 "3.20245353322175;-2.16100264265387;0.540978036681319;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.153202830465687;0.118036409484502;0.0780792035808771;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"15" "GAMMA_FORW" 1 1 1 1 0.871 0.867139959432049 0.874753451676529 0.741940906155491 0.858 0.863354037267081 0.852998065764023 0.716008104018252 3 3 "x1;x2;x3" 1200.01922005498 "3.20245353322175;-2.16100264265387;0.540978036681319;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.153202830465687;0.118036409484502;0.0780792035808771;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"16" "GAMMA_HC" 1 1 1 1 0.871 0.867139959432049 0.874753451676529 0.741940906155491 0.858 0.863354037267081 0.852998065764023 0.716008104018252 3 3 "x1;x2;x3" 1200.01922005498 "3.20245353322175;-2.16100264265387;0.540978036681319;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.153202830465687;0.118036409484502;0.0780792035808771;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"17" "BASELINE" 0.12 0 1 0 0.867 0.858596134282808 0.875122910521141 0.733921693726368 0.8625 0.855276381909548 0.869651741293532 0.725036526977746 25 3 "x1;x2;x3;Noise1;Noise2;Noise3;Noise4;Noise5;Noise6;Noise7;Noise8;Noise9;Noise10;Noise11;Noise12;Noise13;Noise14;Noise15;Noise16;Noise17;Noise18;Noise19;Noise20;Noise21;Noise22" 1288.34863119451 "3.09153560272674;-2.058104204239;0.381759233924755;-0.0467007996809351;-0.00360820503435203;-0.0153224227301421;-0.0948489289949655;-0.0425504788351799;0.0245017290865612;-0.0912365177703668;-0.00986632705439575;0.0345524770479268;0.0299426548249247;0.098021475968623;-0.0847927248913699;-0.0342814357348771;0.0630370345878614;-0.0385719241812449;-0.0209238399266376;-0.0172105991490462;0.164158865473689;-0.0440603380377339;-0.0639665225801261;0.0148183129326084;0.0773665047781326" "0.148146765276823;0.116445049823246;0.0738141955939085;0.0727310673084574;0.0744454385745351;0.074263107967155;0.0686946010429397;0.0715504321016519;0.0731290278643744;0.0689273910669249;0.0714566043392424;0.0711093373715073;0.0707761369678894;0.0732803631427478;0.0704692309300461;0.0713832906277619;0.0745721365937159;0.0755177218114402;0.071948197694241;0.069992735451919;0.0725477769539528;0.0727507256265929;0.0716193463013465;0.0733992860351562;0.0709826527690867"
"18" "BEST" 1 1 1 1 0.8635 0.856561546286877 0.870206489675516 0.726908747085588 0.862 0.856281407035176 0.867661691542289 0.724015505558725 3 3 "x1;x2;x3" 1262.02457072131 "3.04828605396378;-2.02954565045765;0.372686972796958;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.145020402086121;0.113908299634795;0.0726017585281735;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"19" "CFS" 0.92 1 0.333333333333333 0.552770798392567 0.769 0.758901322482197 0.778761061946903 0.537810883644981 0.7615 0.74070351758794 0.782089552238806 0.523293328221062 1 1 "x1" 1876.29252227714 "1.96477454653642;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.089186312527569;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"20" "CHI2" 0.96 1 0.666666666666667 0.798549409504691 0.8555 0.84028484231943 0.870206489675516 0.711016051538659 0.853 0.841206030150754 0.864676616915423 0.706131255245971 2 2 "x1;x2" 1287.40585900022 "3.02101726045255;-2.01458067691751;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.143430899996806;0.112410354003998;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"21" "CONS" 0.96 1 0.666666666666667 0.798549409504691 0.8555 0.84028484231943 0.870206489675516 0.711016051538659 0.853 0.841206030150754 0.864676616915423 0.706131255245971 2 2 "x1;x2" 1287.40585900022 "3.02101726045255;-2.01458067691751;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.143430899996806;0.112410354003998;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"22" "IGR" 0.92 1 0.333333333333333 0.552770798392567 0.769 0.758901322482197 0.778761061946903 0.537810883644981 0.7615 0.74070351758794 0.782089552238806 0.523293328221062 1 1 "x1" 1876.29252227714 "1.96477454653642;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.089186312527569;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"23" "IG" 0.92 1 0.333333333333333 0.552770798392567 0.769 0.758901322482197 0.778761061946903 0.537810883644981 0.7615 0.74070351758794 0.782089552238806 0.523293328221062 1 1 "x1" 1876.29252227714 "1.96477454653642;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.089186312527569;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"24" "ONER" 0.96 1 0.666666666666667 0.798549409504691 0.8555 0.84028484231943 0.870206489675516 0.711016051538659 0.853 0.841206030150754 0.864676616915423 0.706131255245971 2 2 "x1;x2" 1287.40585900022 "3.02101726045255;-2.01458067691751;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.143430899996806;0.112410354003998;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"25" "RELIEF" 0.92 1 0.333333333333333 0.552770798392567 0.769 0.758901322482197 0.778761061946903 0.537810883644981 0.7615 0.74070351758794 0.782089552238806 0.523293328221062 1 1 "x1" 1876.29252227714 "1.96477454653642;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.089186312527569;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"26" "RFI" 0.96 1 0.666666666666667 0.798549409504691 0.8555 0.84028484231943 0.870206489675516 0.711016051538659 0.853 0.841206030150754 0.864676616915423 0.706131255245971 2 2 "x1;x2" 1287.40585900022 "3.02101726045255;-2.01458067691751;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.143430899996806;0.112410354003998;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
