"Approach" "Accuracy_selection" "Specificity_selection" "Sensitivity_selection" "MCC_selection" "Accuracy_training" "Specificity_training" "Sensitivity_training" "MCC_training" "Accuracy_validation" "Specificity_validation" "Sensitivity_validation" "MCC_validation" "NbVarSelected" "NbVarInf" "VarSelected" "AIC" "coef_estimate" "std_estimate"
"160" "GAMMA_HC" 0.52 0.454545454545455 1 0.301511344577764 0.8575 0.859632139399806 0.855222337125129 0.714745367355468 0.867 0.883052527254708 0.850655903128153 0.73423731455586 15 3 "x1;x2;x3;Noise2;Noise5;Noise6;Noise8;Noise11;Noise14;Noise15;Noise16;Noise18;Noise20;Noise21;Noise22" 1334.62473493252 "2.94720832541498;-1.97833928319425;0.588790792504222;NA;-0.0897071931773916;NA;NA;0.0158217693719988;0.0686730796705315;NA;0.107567837843554;NA;NA;0.0544298627064373;NA;NA;0.0235980586831253;0.039446485318274;0.0939045927700589;NA;-0.00867782626348976;NA;0.0854086987993843;0.14555145624629;-0.0351871189792038" "0.139844212822205;0.106577488840219;0.0742324878312478;NA;0.0698437462919238;NA;NA;0.0675796335591526;0.0688158135287879;NA;0.0691693147399865;NA;NA;0.0726139399148745;NA;NA;0.0724331718659173;0.0718467515268074;0.0701048363607865;NA;0.0712537209940578;NA;0.0694814247308664;0.0713696104011319;0.0685341130296195"
"161" "BASELINE" 0.12 0 1 0 0.8735 0.88088376560999 0.86548488008342 0.746531307378444 0.8615 0.878695208970438 0.844946025515211 0.723655350998692 25 3 "x1;x2;x3;Noise1;Noise2;Noise3;Noise4;Noise5;Noise6;Noise7;Noise8;Noise9;Noise10;Noise11;Noise12;Noise13;Noise14;Noise15;Noise16;Noise17;Noise18;Noise19;Noise20;Noise21;Noise22" 1226.41315204218 "3.24475818337214;-2.19321789273537;0.515981789992022;-0.0889379552458817;-0.0343676336275675;0.0482482037059105;0.038805971668224;-0.0426954794196026;0.0392132791949279;-0.103471813962499;-0.0395641107214913;0.00290185143499311;-0.11958512867734;-0.0849345656540478;-0.0565383822916351;-0.0563195673992175;0.108515158131333;0.0981565272722255;0.124791683136762;0.00307046437067258;0.0372238356918079;0.104365911439613;-0.0888187087721208;0.106443551185144;-0.080603209708866" "0.159149378029435;0.118549671291827;0.0795906226100698;0.0739453999127357;0.0749215616076217;0.0727558900597099;0.0753209198583489;0.0725887036544047;0.0753913617141666;0.0766060694168092;0.0741487407449788;0.0746689482424756;0.0768385811225151;0.0731171569854151;0.0734575661487373;0.0754050259218022;0.0734822736947218;0.0770535065131095;0.0736841111572296;0.0739803138142584;0.0733117219226213;0.0775580000166327;0.0762099730747884;0.0768067874335982;0.0743438987548405"
"162" "BEST" 1 1 1 1 0.877 0.88568683957733 0.867570385818561 0.753529001620852 0.865 0.873598369011213 0.856722276741904 0.730192096849225 3 3 "x1;x2;x3" 1204.98425042672 "3.17107299238466;-2.13941549905798;0.491937371344388;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.154272136431539;0.11468746777685;0.0776393391099281;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"163" "CFS" 0.96 1 0.666666666666667 0.798549409504691 0.8695 0.882804995196926 0.855057351407716 0.738485090771603 0.856 0.870540265035678 0.842001962708538 0.712493762320128 2 2 "x1;x2" 1245.59916877762 "3.04681269045606;-2.07461231223225;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.147627757398724;0.110795542229502;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"164" "CHI2" 0.96 1 0.666666666666667 0.798549409504691 0.8695 0.882804995196926 0.855057351407716 0.738485090771603 0.856 0.870540265035678 0.842001962708538 0.712493762320128 2 2 "x1;x2" 1245.59916877762 "3.04681269045606;-2.07461231223225;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.147627757398724;0.110795542229502;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"165" "CONS" 0.96 1 0.666666666666667 0.798549409504691 0.8695 0.882804995196926 0.855057351407716 0.738485090771603 0.856 0.870540265035678 0.842001962708538 0.712493762320128 2 2 "x1;x2" 1245.59916877762 "3.04681269045606;-2.07461231223225;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.147627757398724;0.110795542229502;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"166" "IGR" 0.92 1 0.333333333333333 0.552770798392567 0.7745 0.787704130643612 0.760166840458811 0.548095840405805 0.7675 0.791029561671764 0.744847890088322 0.536128240883244 1 1 "x1" 1898.21583342849 "1.92909782460872;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.0883232182246757;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"167" "IG" 0.92 1 0.333333333333333 0.552770798392567 0.7745 0.787704130643612 0.760166840458811 0.548095840405805 0.7675 0.791029561671764 0.744847890088322 0.536128240883244 1 1 "x1" 1898.21583342849 "1.92909782460872;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.0883232182246757;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"168" "ONER" 0.96 1 0.666666666666667 0.798549409504691 0.8695 0.882804995196926 0.855057351407716 0.738485090771603 0.856 0.870540265035678 0.842001962708538 0.712493762320128 2 2 "x1;x2" 1245.59916877762 "3.04681269045606;-2.07461231223225;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.147627757398724;0.110795542229502;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"169" "RELIEF" 0.88 0.954545454545455 0.333333333333333 0.344828154104298 0.6755 0.707973102785783 0.640250260688217 0.349106233433544 0.6645 0.706422018348624 0.62414131501472 0.331462310743721 2 1 "x2;Noise4" 2394.69423774066 "NA;-1.01419530847267;NA;NA;NA;NA;-0.0334910864772388;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "NA;0.0594645122281272;NA;NA;NA;NA;0.0501717340255069;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"170" "RFI" 0.96 1 0.666666666666667 0.798549409504691 0.8695 0.882804995196926 0.855057351407716 0.738485090771603 0.856 0.870540265035678 0.842001962708538 0.712493762320128 2 2 "x1;x2" 1245.59916877762 "3.04681269045606;-2.07461231223225;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.147627757398724;0.110795542229502;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"171" "SU" 0.92 1 0.333333333333333 0.552770798392567 0.7745 0.787704130643612 0.760166840458811 0.548095840405805 0.7675 0.791029561671764 0.744847890088322 0.536128240883244 1 1 "x1" 1898.21583342849 "1.92909782460872;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.0883232182246757;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"172" "SVM-RFE" 1 1 1 1 0.877 0.88568683957733 0.867570385818561 0.753529001620852 0.865 0.873598369011213 0.856722276741904 0.730192096849225 3 3 "x1;x2;x3" 1204.98425042672 "3.17107299238466;-2.13941549905798;0.491937371344388;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.154272136431539;0.11468746777685;0.0776393391099281;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"173" "GAMMA_BACK" 1 1 1 1 0.877 0.88568683957733 0.867570385818561 0.753529001620852 0.865 0.873598369011213 0.856722276741904 0.730192096849225 3 3 "x1;x2;x3" 1204.98425042672 "3.17107299238466;-2.13941549905798;0.491937371344388;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.154272136431539;0.11468746777685;0.0776393391099281;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"174" "GAMMA_BF" 1 1 1 1 0.877 0.88568683957733 0.867570385818561 0.753529001620852 0.865 0.873598369011213 0.856722276741904 0.730192096849225 3 3 "x1;x2;x3" 1204.98425042672 "3.17107299238466;-2.13941549905798;0.491937371344388;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.154272136431539;0.11468746777685;0.0776393391099281;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"175" "GAMMA_FORW" 1 1 1 1 0.877 0.88568683957733 0.867570385818561 0.753529001620852 0.865 0.873598369011213 0.856722276741904 0.730192096849225 3 3 "x1;x2;x3" 1204.98425042672 "3.17107299238466;-2.13941549905798;0.491937371344388;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.154272136431539;0.11468746777685;0.0776393391099281;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"176" "GAMMA_HC" 1 1 1 1 0.877 0.88568683957733 0.867570385818561 0.753529001620852 0.865 0.873598369011213 0.856722276741904 0.730192096849225 3 3 "x1;x2;x3" 1204.98425042672 "3.17107299238466;-2.13941549905798;0.491937371344388;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.154272136431539;0.11468746777685;0.0776393391099281;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"177" "BASELINE" 0.12 0 1 0 0.865 0.866995073891626 0.862944162436548 0.729939236328174 0.8335 0.833677685950413 0.833333333333333 0.666816471416528 25 3 "x1;x2;x3;Noise1;Noise2;Noise3;Noise4;Noise5;Noise6;Noise7;Noise8;Noise9;Noise10;Noise11;Noise12;Noise13;Noise14;Noise15;Noise16;Noise17;Noise18;Noise19;Noise20;Noise21;Noise22" 1266.51133462276 "3.17318468265513;-2.02007479023591;0.5459302187856;-0.0482834310919311;0.0838095851183361;0.0111629293268351;-0.0636086434759409;-0.0780807090060074;0.0847084902380094;-0.0795366379220662;0.058949591534998;0.121689976569075;0.00389534732778044;-0.0411917956034328;0.0251074622652576;0.0826654089441599;0.0161208559930024;-0.0648646954389325;0.0194932098677714;-0.0021997935331821;0.055531543470569;0.0449587592353992;0.147396957239926;-0.0927820112275347;-0.0133432807117988" "0.151474704114979;0.112408303325174;0.0772487354115777;0.072324636268037;0.0747463423299485;0.0724025835288139;0.0730872005918206;0.0714084274686473;0.0732642275886304;0.0715867678904226;0.0733426584458539;0.0726637399425998;0.0718451817129218;0.0740303634793266;0.0731131842918615;0.0726991675623968;0.0731751683692758;0.0716125453208894;0.0726610887936869;0.0737851576309238;0.0728869926184503;0.0739042219137097;0.0757619451383295;0.0712106329515323;0.0745660998390974"
"178" "BEST" 1 1 1 1 0.861 0.864039408866995 0.857868020304569 0.721930536517609 0.837 0.837809917355372 0.836240310077519 0.673839806762915 3 3 "x1;x2;x3" 1241.125196933 "3.12515686782601;-1.99921807483536;0.549313316487802;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.147794769073411;0.110773493246663;0.0763171563092834;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"179" "CFS" 0.92 1 0.333333333333333 0.552770798392567 0.7785 0.785221674876847 0.771573604060914 0.556867414169382 0.75 0.75 0.75 0.499807913938359 1 1 "x1" 1872.5547839191 "1.95494211530537;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.0888223910769637;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"180" "CHI2" 0.96 1 0.666666666666667 0.798549409504691 0.858 0.863054187192118 0.852791878172589 0.715923406671078 0.836 0.836776859504132 0.835271317829457 0.671838381650753 2 2 "x1;x2" 1294.84564623597 "2.99174272634745;-1.90738369001723;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.139653379460656;0.105589404369201;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"181" "CONS" 1 1 1 1 0.861 0.864039408866995 0.857868020304569 0.721930536517609 0.837 0.837809917355372 0.836240310077519 0.673839806762915 3 3 "x1;x2;x3" 1241.125196933 "3.12515686782601;-1.99921807483536;0.549313316487802;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.147794769073411;0.110773493246663;0.0763171563092834;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"182" "IGR" 0.92 1 0.333333333333333 0.552770798392567 0.7785 0.785221674876847 0.771573604060914 0.556867414169382 0.75 0.75 0.75 0.499807913938359 1 1 "x1" 1872.5547839191 "1.95494211530537;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.0888223910769637;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"183" "IG" 0.92 1 0.333333333333333 0.552770798392567 0.7785 0.785221674876847 0.771573604060914 0.556867414169382 0.75 0.75 0.75 0.499807913938359 1 1 "x1" 1872.5547839191 "1.95494211530537;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.0888223910769637;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"184" "ONER" 0.92 1 0.333333333333333 0.552770798392567 0.7785 0.785221674876847 0.771573604060914 0.556867414169382 0.75 0.75 0.75 0.499807913938359 1 1 "x1" 1872.5547839191 "1.95494211530537;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.0888223910769637;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"185" "RELIEF" 0.96 1 0.666666666666667 0.798549409504691 0.858 0.863054187192118 0.852791878172589 0.715923406671078 0.836 0.836776859504132 0.835271317829457 0.671838381650753 2 2 "x2;x1" 1294.84564623597 "2.99174272634745;-1.90738369001723;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.139653379460656;0.105589404369201;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"186" "RFI" 0.96 1 0.666666666666667 0.798549409504691 0.858 0.863054187192118 0.852791878172589 0.715923406671078 0.836 0.836776859504132 0.835271317829457 0.671838381650753 2 2 "x1;x2" 1294.84564623597 "2.99174272634745;-1.90738369001723;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.139653379460656;0.105589404369201;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"187" "SU" 0.92 1 0.333333333333333 0.552770798392567 0.7785 0.785221674876847 0.771573604060914 0.556867414169382 0.75 0.75 0.75 0.499807913938359 1 1 "x1" 1872.5547839191 "1.95494211530537;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.0888223910769637;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"188" "SVM-RFE" 0.88 0.863636363636364 1 0.657128740672771 0.862 0.861083743842365 0.862944162436548 0.723975770169668 0.837 0.836776859504132 0.837209302325581 0.67380407284962 6 3 "Noise20;Noise21;Noise9;x1;x2;x3" 1239.02195734337 "3.13770458428979;-2.00626866209301;0.553898402444424;NA;NA;NA;NA;NA;NA;NA;NA;0.131030042506254;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.139101088735766;-0.0944944361897032;NA" "0.148499642483392;0.111329651206398;0.0763993995749295;NA;NA;NA;NA;NA;NA;NA;NA;0.0715766799063512;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0750513726906561;0.0706404469219434;NA"
"189" "GAMMA_BACK" 1 1 1 1 0.861 0.864039408866995 0.857868020304569 0.721930536517609 0.837 0.837809917355372 0.836240310077519 0.673839806762915 3 3 "x1;x2;x3" 1241.125196933 "3.12515686782601;-1.99921807483536;0.549313316487802;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.147794769073411;0.110773493246663;0.0763171563092834;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"190" "GAMMA_BF" 1 1 1 1 0.861 0.864039408866995 0.857868020304569 0.721930536517609 0.837 0.837809917355372 0.836240310077519 0.673839806762915 3 3 "x1;x2;x3" 1241.125196933 "3.12515686782601;-1.99921807483536;0.549313316487802;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.147794769073411;0.110773493246663;0.0763171563092834;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"191" "GAMMA_FORW" 1 1 1 1 0.861 0.864039408866995 0.857868020304569 0.721930536517609 0.837 0.837809917355372 0.836240310077519 0.673839806762915 3 3 "x1;x2;x3" 1241.125196933 "3.12515686782601;-1.99921807483536;0.549313316487802;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.147794769073411;0.110773493246663;0.0763171563092834;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"192" "GAMMA_HC" 1 1 1 1 0.861 0.864039408866995 0.857868020304569 0.721930536517609 0.837 0.837809917355372 0.836240310077519 0.673839806762915 3 3 "x1;x2;x3" 1241.125196933 "3.12515686782601;-1.99921807483536;0.549313316487802;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.147794769073411;0.110773493246663;0.0763171563092834;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"193" "BASELINE" 0.12 0 1 0 0.8595 0.848024316109423 0.870681145113524 0.719012956970106 0.8615 0.842211055276382 0.880597014925373 0.723437388459142 25 3 "x1;x2;x3;Noise1;Noise2;Noise3;Noise4;Noise5;Noise6;Noise7;Noise8;Noise9;Noise10;Noise11;Noise12;Noise13;Noise14;Noise15;Noise16;Noise17;Noise18;Noise19;Noise20;Noise21;Noise22" 1306.23405782285 "3.08944579865887;-1.99640830349542;0.461349664024865;0.0315627833293445;-0.151316282730551;0.120780982991692;-0.0360321117357806;0.038396985704945;-0.1269287267354;0.0386471468105247;-0.150629687804622;0.220922800282034;0.0388646226843729;-0.0179740871961705;-0.0531436768733776;-0.0252510017903952;-0.0426258054277877;-0.140996017017449;-0.0760084094379672;0.0497619714279657;-0.045994907190452;0.0485225975225031;-0.0731455510460125;-0.115301897537873;0.113900313074449" "0.148503408573968;0.113206874694982;0.0754013992816519;0.0723991858950938;0.0710373019256134;0.0739175757600969;0.0719261380153061;0.0723037044098946;0.0718524308971358;0.0700679026531499;0.0729768404541202;0.0722737860207337;0.0721109649885049;0.0673595156240735;0.0748977275554894;0.0726513232690417;0.0712370201289355;0.0699652973762002;0.0724248223839872;0.0714222101064912;0.0730363284728049;0.0718481659718296;0.0731773025232829;0.0716838280788388;0.0717123113900032"
"194" "BEST" 1 1 1 1 0.8525 0.844984802431611 0.859822309970385 0.704950608703977 0.864 0.850251256281407 0.877611940298507 0.728204084400034 3 3 "x1;x2;x3" 1299.46691654225 "2.97306999189846;-1.90762765678595;0.439172580301819;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.141468868365265;0.108123115511494;0.0735120805367332;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"195" "CFS" 0.96 1 0.666666666666667 0.798549409504691 0.846 0.839918946301925 0.851924975320829 0.691938047505485 0.8635 0.858291457286432 0.86865671641791 0.727010337299879 2 2 "x1;x2" 1334.77887260973 "2.87321107510061;-1.86363496710814;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.13539526074299;0.104940346121869;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"196" "CHI2" 0.92 1 0.333333333333333 0.552770798392567 0.7645 0.762917933130699 0.76604146100691 0.528941142898548 0.791 0.787939698492462 0.794029850746269 0.581985845477961 1 1 "x1" 1875.34429913939 "1.93590198629528;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.0876897907048024;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"197" "CONS" 0.96 1 0.666666666666667 0.798549409504691 0.846 0.839918946301925 0.851924975320829 0.691938047505485 0.8635 0.858291457286432 0.86865671641791 0.727010337299879 2 2 "x1;x2" 1334.77887260973 "2.87321107510061;-1.86363496710814;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.13539526074299;0.104940346121869;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"198" "IGR" 0.96 1 0.666666666666667 0.798549409504691 0.846 0.839918946301925 0.851924975320829 0.691938047505485 0.8635 0.858291457286432 0.86865671641791 0.727010337299879 2 2 "x1;x2" 1334.77887260973 "2.87321107510061;-1.86363496710814;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.13539526074299;0.104940346121869;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"199" "IG" 0.92 1 0.333333333333333 0.552770798392567 0.7645 0.762917933130699 0.76604146100691 0.528941142898548 0.791 0.787939698492462 0.794029850746269 0.581985845477961 1 1 "x1" 1875.34429913939 "1.93590198629528;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.0876897907048024;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"200" "ONER" 0.92 1 0.333333333333333 0.552770798392567 0.7645 0.762917933130699 0.76604146100691 0.528941142898548 0.791 0.787939698492462 0.794029850746269 0.581985845477961 1 1 "x1" 1875.34429913939 "1.93590198629528;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.0876897907048024;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"201" "RELIEF" 0.92 1 0.333333333333333 0.552770798392567 0.7645 0.762917933130699 0.76604146100691 0.528941142898548 0.791 0.787939698492462 0.794029850746269 0.581985845477961 1 1 "x1" 1875.34429913939 "1.93590198629528;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.0876897907048024;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"202" "RFI" 0.96 1 0.666666666666667 0.798549409504691 0.846 0.839918946301925 0.851924975320829 0.691938047505485 0.8635 0.858291457286432 0.86865671641791 0.727010337299879 2 2 "x1;x2" 1334.77887260973 "2.87321107510061;-1.86363496710814;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.13539526074299;0.104940346121869;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"203" "SU" 0.92 1 0.333333333333333 0.552770798392567 0.7645 0.762917933130699 0.76604146100691 0.528941142898548 0.791 0.787939698492462 0.794029850746269 0.581985845477961 1 1 "x1" 1875.34429913939 "1.93590198629528;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.0876897907048024;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
